Publication Years	Record Count	% of 1,493
2021	212	14.200
2020	194	12.994
2019	173	11.587
2018	137	9.176
2016	118	7.904
2017	107	7.167
2015	96	6.430
2014	80	5.358
2013	58	3.885
2012	57	3.818
2011	43	2.880
2010	42	2.813
2004	28	1.875
2006	26	1.741
2008	23	1.541
2009	21	1.407
2003	19	1.273
2007	13	0.871
2005	11	0.737
2001	10	0.670
2002	8	0.536
2000	5	0.335
1997	4	0.268
1998	3	0.201
1999	3	0.201
1993	1	0.067
1996	1	0.067
