Publication Years	Record Count	% of 2,395
2004	174	7.265
2003	142	5.929
2002	121	5.052
2001	112	4.676
1999	110	4.593
2006	108	4.509
2000	101	4.217
2010	93	3.883
1997	90	3.758
2005	90	3.758
2007	90	3.758
2011	89	3.716
1998	88	3.674
2008	87	3.633
2009	83	3.466
2013	79	3.299
2015	76	3.173
2012	73	3.048
1995	70	2.923
2016	70	2.923
2014	64	2.672
2018	61	2.547
2019	60	2.505
1994	53	2.213
2021	51	2.129
1996	47	1.962
2020	47	1.962
2017	35	1.461
1992	11	0.459
1993	10	0.418
1991	9	0.376
1984	1	0.042
