Publication Years	Record Count	% of 182
2021	34	18.681
2020	24	13.187
2019	20	10.989
2017	18	9.890
2014	17	9.341
2015	13	7.143
2018	13	7.143
2013	12	6.593
2016	12	6.593
2012	5	2.747
2011	3	1.648
2004	2	1.099
2010	2	1.099
1998	1	0.549
2000	1	0.549
2002	1	0.549
2003	1	0.549
2006	1	0.549
2007	1	0.549
2008	1	0.549
