Affiliations	Record Count	% of 749
MUSEUM NATIONAL D HISTOIRE NATURELLE MNHN	7	0.935
NATURAL RESOURCES CANADA	7	0.935
NORWEGIAN METEOROLOGICAL INSTITUTE	7	0.935
OBSERVATOIRE DE LA COTE D AZUR	7	0.935
TECHNISCHE UNIVERSITAT WIEN	7	0.935
UNIVERSITAT TRIER	7	0.935
UNIVERSITE COTE D AZUR	7	0.935
UNIVERSITY OF BOLOGNA	7	0.935
UNIVERSITY OF READING	7	0.935
UNIVERSITY OF ZURICH	7	0.935
CARL VON OSSIETZKY UNIVERSITAT OLDENBURG	6	0.801
CURTIN UNIVERSITY	6	0.801
EBERHARD KARLS UNIVERSITY OF TUBINGEN	6	0.801
ENVIRONMENT CLIMATE CHANGE CANADA	6	0.801
JAPAN AGENCY FOR MARINE EARTH SCIENCE TECHNOLOGY JAMSTEC	6	0.801
LANDS MINERALS SECTOR NATURAL RESOURCES CANADA	6	0.801
MERCATOR OCEAN INT	6	0.801
NEWCASTLE UNIVERSITY UK	6	0.801
POLYTECHNIC UNIVERSITY OF CATALONIA	6	0.801
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE	6	0.801
THALES GROUP	6	0.801
UNITED STATES NAVY	6	0.801
UNIVERSIDADE DE LISBOA	6	0.801
UNIVERSITE CONFEDERALE LEONARD DE VINCI	6	0.801
UNIVERSITE PARIS SACLAY	6	0.801
UNIVERSITY OF BARCELONA	6	0.801
UNIVERSITY OF CAMBRIDGE	6	0.801
UNIVERSITY OF CAPE TOWN	6	0.801
UNIVERSITY OF MIAMI	6	0.801
UNIVERSITY OF OTTAWA	6	0.801
ATLANTIC OCEANOGRAPHIC METEOROLOGICAL LABORATORY AOML	5	0.668
BJERKNES CENTRE FOR CLIMATE RESEARCH	5	0.668
CARDIFF UNIVERSITY	5	0.668
GEOLOGICAL SURVEY OF DENMARK GREENLAND	5	0.668
GOETHE UNIVERSITY FRANKFURT	5	0.668
INSTITUTE OF GEODESY GEOPHYSICS CAS	5	0.668
ISTANBUL TECHNICAL UNIVERSITY	5	0.668
LA ROCHELLE UNIVERSITE	5	0.668
NATIONAL CENTER ATMOSPHERIC RESEARCH NCAR USA	5	0.668
OLD DOMINION UNIVERSITY	5	0.668
OREGON STATE UNIVERSITY	5	0.668
RUAG SPACE GMBH	5	0.668
UNIVERSITE DE VERSAILLES SAINT QUENTIN EN YVELINES	5	0.668
UNIVERSITE GUSTAVE EIFFEL	5	0.668
UNIVERSITY OF ALASKA FAIRBANKS	5	0.668
UNIVERSITY OF ALASKA SYSTEM	5	0.668
UNIVERSITY OF HAWAII MANOA	5	0.668
UNIVERSITY OF LIEGE	5	0.668
UNIVERSITY OF MICHIGAN	5	0.668
UNIVERSITY OF MICHIGAN SYSTEM	5	0.668
UNIVERSITY SYSTEM OF MARYLAND	5	0.668
AIX MARSEILLE UNIVERSITE	4	0.534
ARCTIC ANTARCTIC RESEARCH INSTITUTE	4	0.534
AUSTRALIAN NATIONAL UNIVERSITY	4	0.534
BOSCH	4	0.534
CEA	4	0.534
CHINA UNIVERSITY OF MINING TECHNOLOGY	4	0.534
CITY COLLEGE OF NEW YORK CUNY	4	0.534
CITY UNIVERSITY OF NEW YORK CUNY SYSTEM	4	0.534
COLLECTE LOCALISAT SATELLITES	4	0.534
COLORADO STATE UNIVERSITY	4	0.534
DURHAM UNIVERSITY	4	0.534
EADS ASTRIUM	4	0.534
EC JRC ISPRA SITE	4	0.534
EUROPEAN COMMISSION JOINT RESEARCH CENTRE	4	0.534
FAROE MARINE RES INST	4	0.534
FED AGCY CARTOG GEODESY	4	0.534
HEFEI UNIVERSITY OF TECHNOLOGY	4	0.534
INSTITUT NATIONAL POLYTECHNIQUE DE GRENOBLE	4	0.534
ISTITUTO NAZIONALE GEOFISICA E VULCANOLOGIA INGV	4	0.534
JAPAN METEOROLOGICAL AGENCY	4	0.534
JOHNS HOPKINS UNIVERSITY	4	0.534
JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY	4	0.534
LANCASTER UNIVERSITY	4	0.534
METEO FRANCE	4	0.534
METEOROLOGICAL RESEARCH INSTITUTE JAPAN	4	0.534
NAVAL RESEARCH LABORATORY	4	0.534
NERSC	4	0.534
OCEANDATALAB	4	0.534
OHIO UNIVERSITY	4	0.534
RESEARCH INSTITUTE OF GEODESY TOPOGRAPHY CARTOGRAPHY	4	0.534
RUDJER BOSKOVIC INSTITUTE	4	0.534
RUTGERS STATE UNIVERSITY NEW BRUNSWICK	4	0.534
SAPIENZA UNIVERSITY ROME	4	0.534
STATE UNIVERSITY OF NEW YORK SUNY SYSTEM	4	0.534
STOCKHOLM UNIVERSITY	4	0.534
SURVEYOR GENERAL BRANCH GEOMATICS CANADA	4	0.534
U S ARMY CORPS OF ENGINEERS	4	0.534
U S ARMY ENGINEER RESEARCH DEVELOPMENT CENTER ERDC	4	0.534
UNITED STATES ARMY	4	0.534
UNIVERSIDADE FEDERAL DE PERNAMBUCO	4	0.534
UNIVERSITY OF CALGARY	4	0.534
UNIVERSITY OF COPENHAGEN	4	0.534
UNIVERSITY OF ERLANGEN NUREMBERG	4	0.534
UNIVERSITY OF LUXEMBOURG	4	0.534
UNIVERSITY OF MARYLAND COLLEGE PARK	4	0.534
UNIVERSITY OF MUNICH	4	0.534
UNIVERSITY OF NEWCASTLE	4	0.534
UNIVERSITY OF SOFIA	4	0.534
UNIVERSITY OF SOUTH FLORIDA	4	0.534
UNIVERSITY OF TEXAS AT SAN ANTONIO UTSA	4	0.534
UNIVERSITY OF TWENTE	4	0.534
UNIVERSITY OF VICTORIA	4	0.534
UNIVERSITY SYSTEM OF GEORGIA	4	0.534
YORK UNIVERSITY CANADA	4	0.534
AIRBUS	3	0.401
ATMOSPHERIC ENVIRONMENTAL RESEARCH	3	0.401
AUSTRIAN ACADEMY OF SCIENCES	3	0.401
CHINA UNIVERSITY OF GEOSCIENCES	3	0.401
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET	3	0.401
CZECH TECHNICAL UNIVERSITY PRAGUE	3	0.401
DALHOUSIE UNIVERSITY	3	0.401
DELTARES	3	0.401
DEUTSCH WETTERDIENST	3	0.401
DEUTSCHER WETTERDIENST	3	0.401
ECOLE NORMALE SUPERIEURE ENS	3	0.401
EGYPTIAN KNOWLEDGE BANK EKB	3	0.401
ESA	3	0.401
FRIEDRICH SCHILLER UNIVERSITY OF JENA	3	0.401
GENERAL ATOMICS AFFILIATED COMPANIES	3	0.401
GEORGIA INSTITUTE OF TECHNOLOGY	3	0.401
GRGS	3	0.401
HELLENIC CENTRE FOR MARINE RESEARCH	3	0.401
HUAZHONG UNIVERSITY OF SCIENCE TECHNOLOGY	3	0.401
INSTITUTE OF ATMOSPHERIC PHYSICS CAS	3	0.401
INSTITUTE OF GEOLOGY GEOPHYSICS CAS	3	0.401
INT SPACE SCI INST	3	0.401
ISARDSAT	3	0.401
ISTITUTO DI BIOFISICA IBF CNR	3	0.401
ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE	3	0.401
K N TOOSI UNIVERSITY OF TECHNOLOGY	3	0.401
NATIONAL RESEARCH INSTITUTE OF ASTRONOMY GEOPHYSICS NRIAG	3	0.401
NEW YORK UNIVERSITY	3	0.401
NIELS BOHR INSTITUTE	3	0.401
NORWEGIAN UNIVERSITY OF LIFE SCIENCES	3	0.401
OCEAN UNIVERSITY OF CHINA	3	0.401
POLISH ACADEMY OF SCIENCES	3	0.401
POLYTECHNIC UNIVERSITY OF MILAN	3	0.401
POTSDAM INSTITUT FUR KLIMAFOLGENFORSCHUNG	3	0.401
RESEARCH CENTER JULICH	3	0.401
ROYAL NETHERLANDS INSTITUTE FOR SEA RESEARCH NIOZ	3	0.401
SERV HYDROG OCEANOG MARINE	3	0.401
SHIRSHOV INSTITUTE OF OCEANOLOGY	3	0.401
SLOVAK UNIVERSITY OF TECHNOLOGY BRATISLAVA	3	0.401
SWANSEA UNIVERSITY	3	0.401
TECHNICAL UNIVERSITY FREIBERG	3	0.401
UHI MILLENNIUM INSTITUTE	3	0.401
UNITED STATES DEPARTMENT OF THE INTERIOR	3	0.401
UNITED STATES GEOLOGICAL SURVEY	3	0.401
UNIV LEEDS	3	0.401
UNIVERSITE DE RENNES 1	3	0.401
UNIVERSITY OF BUENOS AIRES	3	0.401
UNIVERSITY OF CALIFORNIA IRVINE	3	0.401
UNIVERSITY OF CALIFORNIA SANTA BARBARA	3	0.401
UNIVERSITY OF EXETER	3	0.401
UNIVERSITY OF FREIBURG	3	0.401
UNIVERSITY OF GLASGOW	3	0.401
UNIVERSITY OF GOTTINGEN	3	0.401
UNIVERSITY OF MANITOBA	3	0.401
UNIVERSITY OF MELBOURNE	3	0.401
UNIVERSITY OF NEW HAMPSHIRE	3	0.401
UNIVERSITY OF NORTH CAROLINA	3	0.401
UNIVERSITY OF URBINO	3	0.401
UNIVERSITY OF WISCONSIN MADISON	3	0.401
UNIVERSITY OF WISCONSIN SYSTEM	3	0.401
UNIVERSITY OF WURZBURG	3	0.401
UNIVERSITY SYSTEM OF NEW HAMPSHIRE	3	0.401
VRIJE UNIVERSITEIT AMSTERDAM	3	0.401
WAGENINGEN UNIVERSITY RESEARCH	3	0.401
ZHEJIANG UNIVERSITY	3	0.401
AIRBUS GROUP	2	0.267
ANHUI KEY LAB CIVIL ENGN STRUCT MAT	2	0.267
ARIZONA STATE UNIVERSITY	2	0.267
ARIZONA STATE UNIVERSITY TEMPE	2	0.267
AUTONOMOUS UNIVERSITY OF BARCELONA	2	0.267
BEDFORD INST OCEANOG	2	0.267
BGS IT E	2	0.267
BRAUNSCHWEIG UNIVERSITY OF TECHNOLOGY	2	0.267
BUNDESAMT KARTOG GEODASIE	2	0.267
BUREAU DE RECHERCHES GEOLOGIQUES ET MINIERES BRGM	2	0.267
BUREAU OF METEOROLOGY AUSTRALIA	2	0.267
CARNEGIE INSTITUTION FOR SCIENCE	2	0.267
CENTRO EURO MEDITERRANEO SUI CAMBIAMENTI CLIMATICI CMCC	2	0.267
CGI	2	0.267
CHALMERS UNIVERSITY OF TECHNOLOGY	2	0.267
CLARK UNIVERSITY	2	0.267
CNRS INSTITUTE OF ECOLOGY ENVIRONMENT INEE	2	0.267
COLD ARID REGIONS ENVIRONMENTAL ENGINEERING RESEARCH INSTITUTE CAS	2	0.267
COLD REGIONS RESEARCH ENGINEERING LABORATORY CRREL	2	0.267
COLLECTE LOCALISAT SATELLITE	2	0.267
COLLECTE LOCALISAT SATELLITES CLS	2	0.267
COLLETTE LOCALISAT SATELLITES	2	0.267
CONSERVATOIRE NATIONAL ARTS METIERS CNAM	2	0.267
CORNELL UNIVERSITY	2	0.267
CROATIAN INSTITUTE OF OCEANOGRAPHY FISHERIES IZOR	2	0.267
CSIC CENTRO MEDITERRANEO DE INVESTIGACIONES MARINAS Y AMBIENTALES CMIMA	2	0.267
CSIC INSTITUTO DE ASTROFISICA DE ANDALUCIA IAA	2	0.267
CSIC INSTITUTO DE CIENCIAS DEL MAR ICM	2	0.267
CTR EUROMEDITERRANEO CAMBIAMENTI CLIMAT	2	0.267
CTR INTERDISCIPLINAR INVEST MARINHA AMBIENTAL C	2	0.267
DARTMOUTH COLLEGE	2	0.267
DEPARTMENT OF SPACE DOS GOVERNMENT OF INDIA	2	0.267
DEUTSCH GEODAET FORSCHUNGSINST	2	0.267
DEUTSCH GEODAT FORSCH INST	2	0.267
DEUTSCHES GEODAT FORSCHUNGSINST	2	0.267
DGFI TUM	2	0.267
EARTH SPACE RES	2	0.267
ENVEO IT GMBH	2	0.267
ETH ZURICH	2	0.267
EUROPEAN COMMISS	2	0.267
FED INST GEOSCI NAT RESOURCES BGR	2	0.267
FLORIDA STATE UNIVERSITY	2	0.267
GEOLOGICAL SURVEY OF CANADA	2	0.267
GEORGE MASON UNIVERSITY	2	0.267
GHENT UNIVERSITY	2	0.267
HARVARD UNIVERSITY	2	0.267
HELMHOLTZ CENTER FOR ENVIRONMENTAL RESEARCH UFZ	2	0.267
HESAM UNIVERSITE	2	0.267
IGAD CLIMATE PREDICT APPLICAT CTR	2	0.267
IHCANTABRIA INSTITUTO DE HIDRAULICA AMBIENTAL DE LA UNIVERSIDAD DE CANTABRIA	2	0.267
IM SYST GRP INC IMSG	2	0.267
IMPERIAL COLLEGE LONDON	2	0.267
INDIAN SPACE RESEARCH ORGANISATION ISRO	2	0.267
INRAE	2	0.267
INST GEODESY GEOINFORMAT	2	0.267
INSTITUTE OF MARINE RESEARCH NORWAY	2	0.267
INSTITUTE OF TIBETAN PLATEAU RESEARCH CAS	2	0.267
INSTITUTE OF WATER PROBLEMS OF THE RUSSIAN ACADEMY OF SCIENCES	2	0.267
INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS INPE	2	0.267
INT SPACE SCI INST ISSI	2	0.267
ISARDSAT SL	2	0.267
ISTITUTO DI RICERCA PER LA PROTEZIONE IDROGEOLOGICA IRPI CNR	2	0.267
ITALIAN NATIONAL AGENCY NEW TECHNICAL ENERGY SUSTAINABLE ECONOMICS DEVELOPMENT	2	0.267
JACOBS UNIVERSITY	2	0.267
JOHANNES GUTENBERG UNIVERSITY OF MAINZ	2	0.267
KAYSER THREDE GMBH	2	0.267
KING ABDULAZIZ UNIVERSITY	2	0.267
KYOTO UNIVERSITY	2	0.267
KYUSHU UNIVERSITY	2	0.267
LEIBNIZ INSTITUT FUR GEWASSEROKOLOGIE UND BINNENFISCHEREI IGB	2	0.267
LEIBNIZ INSTITUT FUR OSTSEEFORSCHUNG WARNEMUNDE	2	0.267
MARINE SCOTLAND SCI	2	0.267
MAX PLANCK INST SOLAR SYST RES	2	0.267
MAYNOOTH UNIVERSITY	2	0.267
MIDDLE EAST TECHNICAL UNIVERSITY	2	0.267
MILITARY UNIVERSITY OF TECHNOLOGY IN WARSAW	2	0.267
MINIST NAT RESOURCES	2	0.267
MINISTRY OF EARTH SCIENCES MOES INDIA	2	0.267
NANJING UNIVERSITY	2	0.267
NANSEN ENVIRONM REMOTE SENSING CTR NERSC	2	0.267
NASA LANGLEY RESEARCH CENTER	2	0.267
NATIONAL INSTITUTE OF WATER ATMOSPHERIC RESEARCH NIWA NEW ZEALAND	2	0.267
NATIONAL UNIVERSITY OF LA PLATA	2	0.267
NATL IMAGERY MAPPING AGCY	2	0.267
NERC NATIONAL CENTRE FOR ATMOSPHERIC SCIENCE	2	0.267
NOC	2	0.267
NORWEGIAN MAPPING AUTHOR	2	0.267
NORWEGIAN RESEARCH CENTRE NORCE	2	0.267
NOVELTIS	2	0.267
OAO AEROGEODEZIYA	2	0.267
OCEAN NEXT	2	0.267
OHB SE	2	0.267
PLYMOUTH MARINE LAB PML	2	0.267
POLAR MARINE GEOSURVEY EXPEDIT	2	0.267
POSITIM UG	2	0.267
PUERTOS ESTADO	2	0.267
QUEENS UNIVERSITY CANADA	2	0.267
QUEENSLAND UNIVERSITY OF TECHNOLOGY QUT	2	0.267
RWTH AACHEN UNIVERSITY	2	0.267
SAINT PETERSBURG STATE UNIVERSITY	2	0.267
SCIENCE SYSTEMS AND APPLICATIONS INC	2	0.267
SHANGHAI ASTRONOMICAL OBSERVATORY CAS	2	0.267
SHANGHAI JIAO TONG UNIVERSITY	2	0.267
SHANGHAI MARITIME UNIVERSITY	2	0.267
SKYMAT	2	0.267
SOCIB	2	0.267
SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY CAS	2	0.267
SPACE APPLICATIONS CENTRE SAC	2	0.267
STATE OCEANIC ADMINISTRATION	2	0.267
STATE UNIVERSITY OF NEW YORK SUNY STONY BROOK	2	0.267
SWISS FEDERAL INSTITUTE FOR FOREST SNOW LANDSCAPE RESEARCH	2	0.267
TISHREEN UNIV	2	0.267
TOMSK STATE UNIVERSITY	2	0.267
TRENT UNIVERSITY	2	0.267
UIT THE ARCTIC UNIVERSITY OF TROMSO	2	0.267
UNI RES CLIMATE	2	0.267
UNITED STATES DEPARTMENT OF ENERGY DOE	2	0.267
UNIV POLITECN CATALUNYA UPC IONSAT	2	0.267
UNIVERSIDAD DE CADIZ	2	0.267
UNIVERSIDAD DE CANTABRIA	2	0.267
UNIVERSIDADE DE SAO PAULO	2	0.267
UNIVERSIDADE FEDERAL DO PARANA	2	0.267
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	2	0.267
UNIVERSITAT D ALACANT	2	0.267
UNIVERSITE DE STRASBOURG	2	0.267
UNIVERSITES DE STRASBOURG ETABLISSEMENTS ASSOCIES	2	0.267
UNIVERSITI PUTRA MALAYSIA	2	0.267
UNIVERSITY HOHENHEIM	2	0.267
UNIVERSITY OF AUGSBURG	2	0.267
UNIVERSITY OF BAYREUTH	2	0.267
UNIVERSITY OF CALIFORNIA LOS ANGELES	2	0.267
UNIVERSITY OF CANTERBURY	2	0.267
UNIVERSITY OF CHINESE ACADEMY OF SCIENCES CAS	2	0.267
UNIVERSITY OF EAST ANGLIA	2	0.267
UNIVERSITY OF KANSAS	2	0.267
UNIVERSITY OF LIVERPOOL	2	0.267
UNIVERSITY OF MILAN	2	0.267
UNIVERSITY OF MINNESOTA SYSTEM	2	0.267
UNIVERSITY OF MINNESOTA TWIN CITIES	2	0.267
UNIVERSITY OF MUNSTER	2	0.267
UNIVERSITY OF NAIROBI	2	0.267
UNIVERSITY OF OTAGO	2	0.267
UNIVERSITY OF OXFORD	2	0.267
UNIVERSITY OF PLYMOUTH	2	0.267
UNIVERSITY OF RHODE ISLAND	2	0.267
UNIVERSITY OF TOKYO	2	0.267
UNIVERSITY OF TORONTO	2	0.267
UNIVERSITY OF WARMIA MAZURY	2	0.267
UPPSALA UNIVERSITY	2	0.267
VERNADSKY INSTITUTE OF GEOCHEMISTRY ANALYTICAL CHEMISTRY	2	0.267
VITROCISET	2	0.267
ABDUS SALAM INTERNATIONAL CENTRE FOR THEORETICAL PHYSICS ICTP	1	0.134
ABR INC	1	0.134
ACADEMIA SINICA TAIWAN	1	0.134
ACADEMY OF OPTO ELECTRONICS CAS	1	0.134
ACRI ST	1	0.134
ADAM MICKIEWICZ UNIVERSITY	1	0.134
AEROSPACE CORPORATION USA	1	0.134
AGENCIA ESTATAL DE METEOROLOGIA AEMET	1	0.134
AGENZIA SPAZIALE ITALIANA ASI	1	0.134
AGROCAMPUS OUEST	1	0.134
AIRBUS DEF SPACE	1	0.134
AIRBUS DS SPACE SYST ESPANA	1	0.134
AKHMET YASSAWI INTERNATIONAL KAZAKH TURKISH UNIVERSITY	1	0.134
ALASKA DIV GEOL GEOPHYS SURVEYS	1	0.134
ALCATEL LUCENT	1	0.134
ALGERIAN SPACE AGENCY ASAL	1	0.134
ALL RUSSIAN RES INST HYDROMETEOROL INFORMAT	1	0.134
ALTIHYDROLAB FR	1	0.134
ALTIMETRICS LLC	1	0.134
ANTARCT CLIMATE ECOSYSTEMS COOPERAT RES CTR	1	0.134
ANTARCTIC CLIMATE ECOSYST COOPERAT RES CTR	1	0.134
ANTIGUA BARBUDA METEOROL SERV	1	0.134
APPALACHIAN STATE UNIVERSITY	1	0.134
AREA MEDIO FIS	1	0.134
AREEO	1	0.134
ARESYS	1	0.134
ARESYS SRL	1	0.134
ARGENTINE NAVAL HYDROG SERV	1	0.134
ARIANA CTR	1	0.134
ARMY CZECH REPUBL	1	0.134
ASIAQ GREENLAND SURVEY	1	0.134
ASTRIUM EADS CASA ESPACIO	1	0.134
ATMOSPHER SCI METEOROL RES CTR	1	0.134
AUSTRALIAN ANTARCTIC DIVISION	1	0.134
AUSTRALIAN DEFENSE FORCE ACADEMY	1	0.134
AUSTRALIAN INSTITUTE OF MARINE SCIENCE	1	0.134
AUSTRALIAN RES COUNCIL	1	0.134
AUSTRALIAN RES COUNCIL CTR EXCELLENCE CLIMATE SYS	1	0.134
B I STEPANOV INSTITUTE OF PHYSICS OF THE NATIONAL ACADEMY OF SCIENCES OF BELARUS	1	0.134
BADAN KOOORDINASI SURVEI PEMETAAN NAS BAKOSURTA	1	0.134
BANGOR UNIVERSITY	1	0.134
BARBADOS METEOROL SERV	1	0.134
BARCELONA EXPERT CTR REMOTE SENSING	1	0.134
BAVARIAN ACAD SCI HUMANITIES	1	0.134
BAVARIAN ACAD SCI HUMANITIES BADW	1	0.134
BEIJING CLIMATE CTR	1	0.134
BEIJING NORMAL UNIVERSITY	1	0.134
BERN INT SPACE SCI INST	1	0.134
BFFT GESELL FAHRZEUGTECH	1	0.134
BGEOS	1	0.134
BGS IT E GMBH	1	0.134
BIOSPHER INSTRUMENTS	1	0.134
BKG	1	0.134
BOGAZICI UNIVERSITY	1	0.134
BOLIN CTR CLIMATE RES	1	0.134
BOSTON COLLEGE	1	0.134
BOTSWANA INT UNIV SCI TECHNOL	1	0.134
BPI HANNOVER	1	0.134
BRANDENBURG UNIVERSITY OF TECHNOLOGY COTTBUS	1	0.134
BRAZILIAN INST GEOG STATIST IBGE	1	0.134
BRITISH OCEANOG DATA CTR	1	0.134
BRNO UNIVERSITY OF TECHNOLOGY	1	0.134
BROCK UNIVERSITY	1	0.134
BROCKMANN CONSULT GMBH	1	0.134
