Publication Years	Record Count	% of 749
2019	71	9.479
2021	66	8.812
2018	64	8.545
2020	57	7.610
2017	48	6.409
2014	46	6.142
2016	46	6.142
2015	43	5.741
2012	41	5.474
2010	27	3.605
2011	23	3.071
2013	23	3.071
2002	21	2.804
2005	19	2.537
2008	18	2.403
2004	15	2.003
2000	14	1.869
2009	14	1.869
1997	13	1.736
2007	13	1.736
1999	11	1.469
2003	11	1.469
1998	9	1.202
2006	9	1.202
1995	8	1.068
1993	7	0.935
2001	6	0.801
1992	2	0.267
1996	2	0.267
1991	1	0.134
1994	1	0.134
