Publication Years	Record Count	% of 675
2015	61	9.037
2018	56	8.296
2014	51	7.556
2016	49	7.259
2012	42	6.222
2017	42	6.222
2019	40	5.926
2021	37	5.481
2013	33	4.889
2010	32	4.741
2020	32	4.741
2009	29	4.296
2011	27	4.000
2007	25	3.704
2008	21	3.111
2006	16	2.370
2004	15	2.222
2003	13	1.926
2005	13	1.926
2002	10	1.481
1998	8	1.185
2001	7	1.037
1999	6	0.889
2000	6	0.889
1993	1	0.148
1995	1	0.148
1996	1	0.148
1997	1	0.148
