Publication Years	Record Count	% of 889
2021	111	12.486
2014	76	8.549
2019	69	7.762
2020	67	7.537
2011	59	6.637
2017	57	6.412
2016	56	6.299
2015	52	5.849
2013	49	5.512
2018	49	5.512
2012	47	5.287
2010	38	4.274
2005	31	3.487
2009	31	3.487
2008	26	2.925
2007	21	2.362
2006	18	2.025
2004	8	0.900
2001	7	0.787
2002	6	0.675
2003	5	0.562
2000	4	0.450
1999	2	0.225
