Publication Years	Record Count	% of 501
2021	89	17.764
2018	80	15.968
2020	65	12.974
2019	50	9.980
2017	48	9.581
2015	40	7.984
2016	37	7.385
2014	31	6.188
2013	11	2.196
2012	9	1.796
2004	8	1.597
2002	6	1.198
2010	5	0.998
2009	4	0.798
2011	4	0.798
2001	3	0.599
2005	3	0.599
2006	3	0.599
1999	1	0.200
2000	1	0.200
2003	1	0.200
2007	1	0.200
2008	1	0.200
