Affiliations	Record Count	% of 3,072
RUSSIAN ACADEMY OF SCIENCES	24	0.781
UNIVERSITY OF CALIFORNIA SANTA BARBARA	24	0.781
ASTRONOMICAL INSTITUTE OF THE CZECH ACADEMY OF SCIENCES	23	0.749
CTR NATL ETUD SPATIALES	23	0.749
CZECH ACADEMY OF SCIENCES	23	0.749
SEOUL NATIONAL UNIVERSITY SNU	23	0.749
UNIVERSITY OF NEW HAMPSHIRE	23	0.749
UNIVERSITY OF WISCONSIN MADISON	23	0.749
UNIVERSITY SYSTEM OF NEW HAMPSHIRE	23	0.749
CITY UNIVERSITY OF NEW YORK CUNY SYSTEM	22	0.716
NATIONAL CENTRAL UNIVERSITY	22	0.716
UNIVERSITY OF DELAWARE	22	0.716
UNIVERSITY OF HAMBURG	22	0.716
UNIVERSITY OF MAINE ORONO	22	0.716
UNIVERSITY OF MAINE SYSTEM	22	0.716
XIAMEN UNIVERSITY	21	0.684
COMMUNAUTE UNIVERSITE GRENOBLE ALPES	20	0.651
OBSERVATOIRE DE PARIS	20	0.651
UNIVERSITE GRENOBLE ALPES UGA	20	0.651
UNIVERSITY OF CALIFORNIA SANTA CRUZ	20	0.651
UNIVERSITY OF MISSOURI COLUMBIA	20	0.651
UNIVERSITY OF SOUTHAMPTON	20	0.651
EUROPEAN CENTRE FOR MEDIUM RANGE WEATHER FORECASTS ECMWF	19	0.618
NATURAL RESOURCES CANADA	19	0.618
NORTHEASTERN UNIVERSITY	19	0.618
NATIONAL TAIWAN UNIVERSITY	18	0.586
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION PCSHE	18	0.586
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION SAIC	18	0.586
STANFORD UNIVERSITY	18	0.586
STATE UNIVERSITY OF NEW YORK SUNY BUFFALO	18	0.586
UNIVERSITY OF ARIZONA	18	0.586
UNIVERSITY OF MARYLAND BALTIMORE COUNTY	18	0.586
HELMHOLTZ CENTER POTSDAM GFZ GERMAN RESEARCH CENTER FOR GEOSCIENCES	17	0.553
HOHAI UNIVERSITY	17	0.553
MERCATOR OCEAN	17	0.553
UNIVERSITY OF TEXAS AT SAN ANTONIO UTSA	17	0.553
NASA LANGLEY RESEARCH CENTER	16	0.521
NATIONAL GEODETIC SURVEY NOAA	16	0.521
PORTLAND STATE UNIVERSITY	16	0.521
TECHNICAL UNIVERSITY OF MUNICH	16	0.521
UNIVERSITY OF LEEDS	16	0.521
CSIC INSTITUTO MEDITERRANEO DE ESTUDIOS AVANZADOS IMEDEA	15	0.488
HARVARD UNIVERSITY	15	0.488
HUGHES STX CORP	15	0.488
MUSEUM NATIONAL D HISTOIRE NATURELLE MNHN	15	0.488
NATIONAL INSTITUTE OF WATER ATMOSPHERIC RESEARCH NIWA NEW ZEALAND	15	0.488
UNITED STATES DEPARTMENT OF AGRICULTURE USDA	15	0.488
UNIVERSITAT DE LES ILLES BALEARS	15	0.488
UNIVERSITE GUSTAVE EIFFEL	15	0.488
UNIVERSITY OF MASSACHUSETTS AMHERST	15	0.488
UNIVERSITY OF NEW SOUTH WALES SYDNEY	15	0.488
AUSTRALIAN NATIONAL UNIVERSITY	14	0.456
BEIJING NORMAL UNIVERSITY	14	0.456
BROWN UNIVERSITY	14	0.456
COUNCIL OF SCIENTIFIC INDUSTRIAL RESEARCH CSIR INDIA	14	0.456
CSIR NATIONAL INSTITUTE OF OCEANOGRAPHY NIO	14	0.456
INSTITUTE OF OCEANOLOGY CAS	14	0.456
LANDS MINERALS SECTOR NATURAL RESOURCES CANADA	14	0.456
PENNSYLVANIA STATE UNIVERSITY	14	0.456
PENNSYLVANIA STATE UNIVERSITY UNIVERSITY PARK	14	0.456
UNIVERSITE DE STRASBOURG	14	0.456
UNIVERSITES DE STRASBOURG ETABLISSEMENTS ASSOCIES	14	0.456
UNIVERSITY OF SOUTHERN MISSISSIPPI	14	0.456
WUHAN UNIVERSITY	14	0.456
ENVIRONMENT CLIMATE CHANGE CANADA	13	0.423
LOS ALAMOS NATIONAL LABORATORY	13	0.423
MET OFFICE UK	13	0.423
NORTH CAROLINA STATE UNIVERSITY	13	0.423
STATE UNIVERSITY OF NEW YORK SUNY STONY BROOK	13	0.423
U S ARMY CORPS OF ENGINEERS	13	0.423
U S ARMY ENGINEER RESEARCH DEVELOPMENT CENTER ERDC	13	0.423
UNITED STATES ARMY	13	0.423
UNIVERSITIES SPACE RESEARCH ASSOCIATION USRA	13	0.423
UNIVERSITY OF CALGARY	13	0.423
UNIVERSITY OF CAMBRIDGE	13	0.423
UNIVERSITY OF SOUTH CAROLINA COLUMBIA	13	0.423
UNIVERSITY OF SOUTH CAROLINA SYSTEM	13	0.423
AUSTRALIAN ANTARCTIC DIVISION	12	0.391
DEPARTMENT OF SPACE DOS GOVERNMENT OF INDIA	12	0.391
INDIAN INSTITUTE OF SCIENCE IISC BANGALORE	12	0.391
INDIAN SPACE RESEARCH ORGANISATION ISRO	12	0.391
NANSEN ENVIRONM REMOTE SENSING CTR	12	0.391
POLYTECHNIC UNIVERSITY OF CATALONIA	12	0.391
SHANGHAI ASTRONOMICAL OBSERVATORY CAS	12	0.391
SHIRSHOV INSTITUTE OF OCEANOLOGY	12	0.391
THE INSTITUTE OF REMOTE SENSING DIGITAL EARTH CAS	12	0.391
TSINGHUA UNIVERSITY	12	0.391
ECOLE NORMALE SUPERIEURE ENS	11	0.358
GERMAN AEROSPACE CENTRE DLR	11	0.358
HOKKAIDO UNIVERSITY	11	0.358
INSTITUT D ESTUDIS ESPACIALS DE CATALUNYA IEEC	11	0.358
KOREA INSTITUTE OF OCEAN SCIENCE TECHNOLOGY KIOST	11	0.358
NEWCASTLE UNIVERSITY UK	11	0.358
UNITED STATES FOREST SERVICE	11	0.358
UNIVERSITE DE VERSAILLES SAINT QUENTIN EN YVELINES	11	0.358
UNIVERSITE PARIS SACLAY	11	0.358
UNIVERSITY OF BERGEN	11	0.358
UNIVERSITY OF CAPE TOWN	11	0.358
UNIVERSITY OF MINNESOTA SYSTEM	11	0.358
UNIVERSITY OF TOKYO	11	0.358
BOSTON UNIVERSITY	10	0.326
CALIFORNIA STATE UNIVERSITY SYSTEM	10	0.326
CEA	10	0.326
CITY COLLEGE OF NEW YORK CUNY	10	0.326
CORNELL UNIVERSITY	10	0.326
ETH ZURICH	10	0.326
KANSAS STATE UNIVERSITY	10	0.326
LOUISIANA STATE UNIVERSITY	10	0.326
LOUISIANA STATE UNIVERSITY SYSTEM	10	0.326
NORTHWEST RESEARCH ASSOCIATES	10	0.326
NORWEGIAN METEOROLOGICAL INSTITUTE	10	0.326
PEKING UNIVERSITY	10	0.326
