Funding Agencies	Record Count	% of 3,072
Dean M Leinen Of The Graduate School Of Oceanography At The University Of Rhode Island	1	0.033
Debenham Scholarship From The Scott Polar Research Institute University Of Cambridge	1	0.033
Dec	1	0.033
Deep C Consortium	1	0.033
Defence Research Development Organisation Drdo	1	0.033
Defense Advanced Research Projects Agency Darpa	1	0.033
Defense Advanced Research Projects Agency Darpa Defense Sciences Office Dso Space Environment Exploitation See Program	1	0.033
Deimos Space Uk Limited	1	0.033
Deltares	1	0.033
Department For Business Innovation And Skills	1	0.033
Department For Environment Food Rural Affairs Defra	1	0.033
Department Of Earth And Oceans At Old Dominion University	1	0.033
Department Of Earth System Science University Of California Irvine	1	0.033
Department Of Environment Science Policy And Management University Of California Berkeley	1	0.033
Department Of Navy Via Applied Research Laboratory At University Of Hawaii	1	0.033
Department Of Oceanography Tamu	1	0.033
Department Of The Interior S Bureau Of Ocean Energy Management Regulation And Enforcement Boemre	1	0.033
Dewfora Ec Fp7 Projects	1	0.033
Dfg Through The Senate Commission On Oceanography	1	0.033
Dfg Under The Belmont Forum Cra On Coastal Vulnerability	1	0.033
Dfid Royal Society Africa Capacity Building Initiative	1	0.033
Dfid Royal Society Africa Capacity Building Initiative Rs Dfid	1	0.033
Dfo	1	0.033
Dga	1	0.033
Diatom Arctic Project Part Of The Changing Arctic Ocean Programme Ukri Nerc	1	0.033
Director Foundation	1	0.033
Director S Fund Program	1	0.033
Directorate General Of Higher Education Ministry Of National Education Of Indonesia Staff Mobility Bpptn Bh Ipb	1	0.033
Disaster Related Appropriation Supplemental Improving Forecasting And Assimilation Dras Ifaa	1	0.033
Disi Australia China Centre	1	0.033
Division For Earth And Life Sciences Alw	1	0.033
Dlr Space Administration	1	0.033
Dlr Space Administration By The Federal Ministry Of Economics And Technology	1	0.033
Dlr Space Administration By The German Bundesministerium Fur Wirtschaft Und Energie	1	0.033
Doctorate Fellowship Foundation Of Nanjing Forestry University	1	0.033
Doe U S Office Of Science	1	0.033
Dst New Delhi Through Dst Rfbr	1	0.033
Dtu Space	1	0.033
E Wave Project	1	0.033
Earth And Space Science Graduate Fellowship	1	0.033
Earth And Space Sciences Fellowship	1	0.033
Earth Observatory Of Singapore Eos	1	0.033
Earth Observing System Data And Information System Eosdis	1	0.033
Earth Science Technology Office	1	0.033
Earth Science Technology Office Under Nasa	1	0.033
Earth Scope Yakima Lidar Project Washington	1	0.033
Earth System Science Organization Esso Indian National Centre For Ocean Information Services Incois Ministry Of Earth Sciences Moes	1	0.033
Earth Systems Doctoral School Fct Project University Of Lisbon	1	0.033
Earth Water Institute	1	0.033
East Carolina University	1	0.033
Ec Fp7 Research Project Kulturisk	1	0.033
Ec2co Insu Cnrs	1	0.033
Ecco Godae Group	1	0.033
Ecco2 Project	1	0.033
Ecmwf Copernicus	1	0.033
Eddy Resolving Global Ocean Prediction Including Tides	1	0.033
El Programa Nacional De Movilidad De Recursos Humanos Del Plan Nacional De I D I	1	0.033
Embl	1	0.033
Engineering Physical Sciences Research Council Epsrc	1	0.033
Environment And Climate Eu Enact Project	1	0.033
Eoforchina Project Ministry Of Foreign Affairs Of Denmark	1	0.033
Esa Climate Change Initiative Program	1	0.033
Esa Contract Sea Level Cci	1	0.033
Esa Cryosat Antarctica Ocean Project	1	0.033
Esa Cryosat Land Validation	1	0.033
Esa Expro Snow	1	0.033
Esa Most Dragon 4 Cooperation Program	1	0.033
Esa Project	1	0.033
Esa Project Sentinel 1 A Mission Performance Center	1	0.033
Esa Project Sentinel 1 Ocean Study	1	0.033
Esa Smos Nino15 Project	1	0.033
Esa Through The Mpc S3 Project	1	0.033
Esa Under Ipy Ao	1	0.033
Esa Under The Globcurrent Project	1	0.033
Esa Under The Sea State Cci Project	1	0.033
Esf Cooperation Project	1	0.033
Esi	1	0.033
Esso Incois Ministry Of Earth Sciences India	1	0.033
Essp Icao	1	0.033
Etienne Bourgois	1	0.033
Eu Enact	1	0.033
Eu Eranet Resourcecode	1	0.033
Eu Fp7 Project Naclim	1	0.033
Eu Fp7 Project Swarp	1	0.033
Eu H2020 Program Through The Atlantos Project	1	0.033
Eu Horizon 2020 Project Atlantos	1	0.033
Eu Horizon 2020 Project Blue Action	1	0.033
Eumetsat	1	0.033
Eumetsat Cnes	1	0.033
Eumetsat Through Cm Saf	1	0.033
European Commission Gmes Framework	1	0.033
European Marine Core Service Eu	1	0.033
European Noces Project	1	0.033
European Organisation For The Exploitation Of Meteorological Satellites	1	0.033
European Research Area For Climate Services Era4cs Integrating Sea Level Projections In Climate Services For Coastal Adaptation Inseaption Project	1	0.033
European Research Projects Animate Atlantic Network Of Interdisciplinary Moorings And Time Series For Europe	1	0.033
European Space Agency As Part Of The Sea State Cci Project Of The Climate Change Initiative Cci Esa Esrin	1	0.033
European Space Agency By Project Polarice	1	0.033
European Space Agency Esa Through The Sea Surface Kinematics Multiscale Monitoring Skim Mission Science Scisoc Study	1	0.033
European Space Agency Living Planet Fellowship Arctic Summit	1	0.033
European Space Agency Project Glaciers Cci	1	0.033
European Space Agency S Climate Change Initiative	1	0.033
European Space Agency Tender Expro Snow	1	0.033
European Space Agency Through The Climate Change Initiative Project On The Antarctic Ice Sheet	1	0.033
European Space Agency Through The Climate Change Initiative Project On The Greenland Ice Sheet	1	0.033
European Space Agency Through The Esa Most Dragon 4 Projects	1	0.033
European Space Agency Through The Ice Sheets Cci	1	0.033
European Union Fp6 Carboocean Integrated Project	1	0.033
European Union S Horizon 2020 Marie Sklodowskacurie Grant	1	0.033
European Union S Horizon 2020 Research And Innovation Program	1	0.033
European Unionfunded Project Pithia Nrf	1	0.033
Eversource Energy Center	1	0.033
Evolving Earth Foundation	1	0.033
Evos	1	0.033
Exxon Mobil Corporation	1	0.033
Faa Flight Inspection Division Avn	1	0.033
Fapesb Foundation State Of Bahia Brazil	1	0.033
Federal Agency For Scientific Organizations Faso Russia	1	0.033
Federal Aviation Administration Faa Wide Area Augmentation System Waas Program	1	0.033
Federal Program For Energy Research And Development	1	0.033
Field Station Alliance Project Of Chinese Academy Of Sciences	1	0.033
Finesst Grant	1	0.033
Fip	1	0.033
First Class Funding From The Post Doctoral Fund Project	1	0.033
Fisheries And Oceans Canada	1	0.033
Fisheries Laboratory Of The Faroe Islands	1	0.033
Florida Fish And Wildlife Conservation Commission	1	0.033
Fokos Of The University Of Siegen	1	0.033
Fondo De Investigacion Pesquera Y Acuicultura	1	0.033
Fondo Nacional De Investigaciones Cientificas Y Tecnologicas Fonacit Venezuela	1	0.033
Fonds De La Recherche Scientifique Fnrs	1	0.033
Foundation Edf Diversiterre	1	0.033
Foundation Of Guangdong Province For Outstanding Yong Teachers In University	1	0.033
Foundation Of Guangdong Province For Outstanding Young Teachers In University	1	0.033
Foundation Stae	1	0.033
Fp7 Regpot 2008 1 Sofia	1	0.033
France And Brazilian Governments	1	0.033
Frb	1	0.033
Fred M Bullard Fellowship	1	0.033
Free Inquiry Young Talent Program Of The State Key Laboratory Of Remote Sensing Science	1	0.033
French Atomic Energy Commission	1	0.033
French Government Through The Centre National D Etudes Spatiales	1	0.033
French Institut De Recherche Pour Le Developpement Ird	1	0.033
French Lefe Gmmc Research Programme	1	0.033
French Ministry Of Research And Higher Education	1	0.033
French National Centre For Space Studies Cnes Tosca Program	1	0.033
French National Program Lefe Les Enveloppes Fluides De L Environnement Gmmc Groupe Mission Mercator Coriolis By The Cratere Project	1	0.033
French Ovide Project	1	0.033
French Patom	1	0.033
French Polar Institute	1	0.033
French Polar Institute Paul Emile Victor Ipev	1	0.033
French Space Agency Through The Tosca Program	1	0.033
Friend Of Orton Hall Travel Award	1	0.033
Fulbright Commission In Spain Through A Fulbright Grant	1	0.033
Fulbright Commission In Spain Through Fulbright Grant	1	0.033
Fulbright Nehru Foundation	1	0.033
Fulbright Phd Presidential Scholarship	1	0.033
Fulbright Program For Graduate Studies	1	0.033
Fulbright Scholar Program	1	0.033
Fulbright Science And Technology Fellowship	1	0.033
Fund Of Southern Marine Science And Engineering Guangdong Laboratory Zhanjiang	1	0.033
Fundacao De Apoio A Pesquisa Do Distrito Federal Fapdf	1	0.033
Fundacion Espafiola Para La Ciencia Y La Tecnologia Fecyt	1	0.033
Fundamental Research Fund For The Central University	1	0.033
Fy Disaster Supplemental Improving Forecasting Of Hurricanes Floods And Wildfires Fy Ifhfw	1	0.033
G Unger Vetlesen Foundation Of New York	1	0.033
Gaann Fellowship Of The Department Of Education	1	0.033
Gabon National Park Anpn At Ucla	1	0.033
Gary Comer Science And Education Foundation	1	0.033
Genci	1	0.033
Genci Idris Grant	1	0.033
General Electric	1	0.033
General Land Office Through Tglo Tabs Modelling Effort	1	0.033
General Revenue Through State Of Florida	1	0.033
Generalitat Valenciana	1	0.033
Genoscope Cea	1	0.033
Geoide Nce	1	0.033
Geological Survey Of Denmark And Greenland	1	0.033
Geology Foundation Of The Jackson School Of Geosciences University Of Texas Austin	1	0.033
Geology Foundation Of The University Of Texas	1	0.033
Geophysics Department Universidad De Concepcion	1	0.033
George Melendez Wright Climate Change Fellowship	1	0.033
George Thompson Fellowship At Stanford University	1	0.033
George Thompson Postdoctoral Fellowship	1	0.033
German Federal Ministry Of Education And Research As Part Of The Cooperative Project Race	1	0.033
German Ministry Of Economics Affairs And Energy	1	0.033
Gfdl Visiting Faculty Program	1	0.033
Gfz	1	0.033
Global And Remote Littoral Forcing In Global Ocean Models	1	0.033
Global Center Of Excellence Coe Program Evolution Of Research And Education On Integrated River Basin Management In Asian Region University Of Yamanashi	1	0.033
Global Change Research Program Of China	1	0.033
Global Drifter Program National Oceanic And Atmospheric Administration Noaa	1	0.033
Global Ecosystem Dynamics Investigation Gedi Mission	1	0.033
Global Ocean Monitoring And Observing Programme National Oceanic And Atmospheric Administration Noaa Us Department Of Commerce	1	0.033
Globec Nwa Program	1	0.033
Glowasis	1	0.033
Gmao	1	0.033
Goa	1	0.033
Goddard Space Flight Center Strategic Support	1	0.033
Gops Programme Ird	1	0.033
Government Of Nwt	1	0.033
Government Of The Russian Federation	1	0.033
Government Of The United States Of America Though The National Oceanic And Atmospheric Administration	1	0.033
Government Of Yemen	1	0.033
Government Sponsorship	1	0.033
Grace	1	0.033
Grace Follow On Science Team Grant	1	0.033
Grace Program	1	0.033
Grace Science Team Program	1	0.033
Graduate Student Researchers Program	1	0.033
Grant Agency Of The Czech Republic	1	0.033
Great Western Research Fellowship	1	0.033
Green Network Of Excellence Grene Program Arctic Climate Change Research Project	1	0.033
Grip Program Of The Canadian Space Agency	1	0.033
Gsa Northeastern Section Stephen G Pollock Undergraduate Student Research Grant	1	0.033
Guangdong Basic And Applied Basic Research Foundation	1	0.033
Guangdong Province First Class Discipline Plan	1	0.033
Guangzhou City Project For The Pearl River New Star In Science And Technology	1	0.033
Gulf Integrated Spill Research Consortium	1	0.033
Gulf Of Mexico Coastal Ocean Observing System	1	0.033
Gulf Of Mexico Research Initiative As Part Of The Consortium For Advanced Research On Transport Of Hydrocarbon In The Environment	1	0.033
Gulf Of Mexico Research Initiative Through The Consortium For Advanced Research On Transport Of Hydrocarbon In The Environment Carthe	1	0.033
Gulf Research Program Of The National Academies Of Sciences Engineering And Medicine Nasem Ugos 1	1	0.033
H2020 Grant	1	0.033
Harbor And Marine Technology Center	1	0.033
Hawaii National Marine Renewable Energy Center	1	0.033
Hced	1	0.033
Helmholtz Alliance Project Remote Sensing And Earth System Dynamics	1	0.033
Helmholtz Centre Potsdam Geo Forschungszentrum Germany	1	0.033
Helmoltz Association	1	0.033
Herman Sokol Faculty Award	1	0.033
Hiestand Scholars Program	1	0.033
High Meadows Foundation	1	0.033
High Performance Computing Cluster Hpcc Of The State Key Lab Of Satellite Ocean Environment Dynamics Soed	1	0.033
High Performance Computing Systems	1	0.033
Higher Education Excellence Program Of The Ministry Of Human Capacities Hungary	1	0.033
Horizon Marine Inc	1	0.033
Houghton Fund	1	0.033
Hpc System At The Texas Am University	1	0.033
Hubbs Seaworld Research Institute	1	0.033
Human Resources Development Of The Korea Institute Of Energy Technology Evaluation And Planning Ketep Ministry Of Trade Industry And Energy Republic Of Korea	1	0.033
Hybrid Coordinate Ocean Model Hycom	1	0.033
Hycom Consortium	1	0.033
Hycom Nopp	1	0.033
Hydraulic Engineering Science And Technology Project Of Hunan Province China	1	0.033
I Core Program Of The Planning And Budgeting Committee	1	0.033
Iarc International Arctic Research Center Jaxa Information System Ijis	1	0.033
Ias	1	0.033
Icesat 2 Early Adopter Program	1	0.033
Icesat 2 Project Office At The Goddard Space Flight Center	1	0.033
Igcp Project	1	0.033
Igg Internal Project	1	0.033
Independent Research Project Program Of State Key Laboratory Of Tropical Oceanography	1	0.033
Indian Institute Of Technology Bombay	1	0.033
Indiana Metacyt Initiative	1	0.033
Inge Lehmann Legat	1	0.033
Inge Lehmanns Legat	1	0.033
Innovation Key Program Of The Chinese Academy Of Sciences	1	0.033
Innovation Projects Of The State Key Laboratory Of Resources And Environmental Information System	1	0.033
Innovation Research And Entrepreneurship Team In Jiangsu Province	1	0.033
Institut National Des Sciences De L Univers Insu France	1	0.033
Institut Simon Et Pierre Laplace Labex Lipsl	1	0.033
Institut Universitaire De France	1	0.033
Institute For International Education Iie	1	0.033
Institute Francais De Recherche Pour L Exploitation De La Mer Ifremer	1	0.033
Institute Of Remote Sensing And Digital Earth Chinese Academy Of Sciences Cas	1	0.033
Institute Of Water Modeling Bangladesh	1	0.033
Institute Of Water Modeling Iwm In Bangladesh	1	0.033
Instituto Milenio De Oceanografia Imo Chile Iniciativa Cientifica Milenio Icm Chile	1	0.033
Instituto Milenio De Oceanografia Pacific Boundary Ecosystems And Ecosystem Study Nsf Globec	1	0.033
Insu Institut National Des Sciences De L Univers	1	0.033
Insu Lefe Idao Project Solwara	1	0.033
Integrated Marine Observing System Imos Imos Is A National Collaborative Research Infrastructure	1	0.033
Integrated Project Of State Key Laboratory Of Tropical Oceanography Lto	1	0.033
Inter American Institute For Global Change Research	1	0.033
Interagency Nasa Climate And Biological Response Program	1	0.033
Intergovernmental Oceanographic Commission Of Unesco International Oceanographic Data And Information Exchange Ioc Iode Iquod Steering Group	1	0.033
Intergovernmental Panel On Climate Change Ipcc Research Grant	1	0.033
Intergovernmental Wildland Fire Leadership Council Of The United States	1	0.033
Internal Research And Technology Development Program Earth 2050	1	0.033
Internal University Of Bristol Pgr Scholarship Of Iag	1	0.033
International Commission On Polar Meteorology Icpm	1	0.033
International Corporation Program Of China	1	0.033
International Create	1	0.033
International Doris Service Ids	1	0.033
International Laser Ranging Service Ilrs	1	0.033
International Network Program Of The Ministry Of Higher Education And Science Denmark	1	0.033
International Pacific Research Center	1	0.033
International Pacific Research Center Iprc	1	0.033
International Science And Technology Cooperation Program Of China	1	0.033
International Space Science Institute Issi	1	0.033
International Union On Geodesy And Geophysics Iugg	1	0.033
Intramural Nasa	1	0.033
Ioos Office Us Navy	1	0.033
Iowa Flood Center	1	0.033
Ipev Institut Paul Emile Victor	1	0.033
Iprc Soest	1	0.033
Ipsl Institute Pierre Simon Laplace	1	0.033
Ipy Kinnvika Team	1	0.033
Ird Institut De Recherche Pour Le Developpement France	1	0.033
Ird Legos France	1	0.033
Ird Project Hidrodinamica Fluvial	1	0.033
Irstea	1	0.033
Italian Ministry Of Environment Land And Sea Under Gemina	1	0.033
Italian Ministry Of The Environment Land And Sea Mattm Through The Project Gest River Gestione Ecosostenibile Dei Territori A Rischio Inondazione E Valorizzazione Economica Delle Risorse	1	0.033
Italian Ministry Of The Environment Land And Sea Mattm Through The Project Simpro Simulazione Idrologico Idraulico Economica Di Progetto Per La Mitigazione Del Rischio Idraulico	1	0.033
Italian Space Agency Under Asi Inaf	1	0.033
Itop Team	1	0.033
J Lamarworzel Assistant Scientist Fund	1	0.033
Jackson School Of Geosciences Development	1	0.033
Jackson School Of Geosciences Univ Of Texas At Austin	1	0.033
Jackson School Of Geosciences Ut Austin	1	0.033
Japan Aerospace Exploration Agency	1	0.033
Japan Aerospace Exploration Agency Jaxa	1	0.033
Japan Agency For Marine Earth Science And Technology	1	0.033
Japan Agency For Marine Earth Science And Technology Japan	1	0.033
Japan Agency For Ocean And Earth Science And Technology Jamstec	1	0.033
Japan Science Technology Agency Jst	1	0.033
Japanese Science And Technology Corporation	1	0.033
Jason 1 And Ostm Jason 2	1	0.033
Jason 1 Project At Jpl	1	0.033
Jaxa	1	0.033
Jcomm Cowclip Coordinated Ocean Wave Climate Projections Project	1	0.033
Jerico Fp7 Project	1	0.033
Jerico Next Eu H2020 Infraia 2014	1	0.033
Jerome M Paros Endowed Chair In Sensor Networks	1	0.033
Jet Propulsion Laboratory	1	0.033
Jet Propulsion Laboratory California Institute Of Technology Pasadena California With Nasa	1	0.033
Jet Propulsion Laboratory S Research	1	0.033
Jiangsu Key Laboratory Of Coast Ocean Resources Development And Environment Security Hohai University	1	0.033
Jiangsu Province	1	0.033
Jiangsu Province Science Foundation For Youths	1	0.033
Jifresse Ucla	1	0.033
Jimar	1	0.033
Jimo At The Scripps Institution Of Oceanography Sio	1	0.033
Jisao	1	0.033
John D And Catherine T Macarthur Foundation	1	0.033
John E And Anne W Sawyer Endowed Fund In Special Support Of Scientific Staff	1	0.033
John Miles Fellowship	1	0.033
Joint Center For Global Change Studies Beijing China	1	0.033
Joint Institute For The Study Of The Atmosphere And Ocean Jisao Under Noaa	1	0.033
Joint International Laboratory Takuvik Ulaval Cnrs The Canada Excellence Research Chair In Remote Sensing Of Canada S New Arctic Frontier	1	0.033
Joint Uk Beis Defra Met Office Hadley Centre Climate Programme	1	0.033
Joint Uk Decc Defra Met Office Hadley Centre Climate Programme	1	0.033
Joseph Gleberman	1	0.033
Jpl Advanced Concept Program	1	0.033
Jpl As Part Of The Nasa Ocean Surface Topography Mission	1	0.033
Jpl Fund On R A Hydrology Weather From The Soil Moisture Active Passive Smap Project	1	0.033
Jpl Innovative And Spontaneous Concept Program	1	0.033
Jpl Innovative Spontaneous Concept Rtd Program	1	0.033
Jpl Internal Research And Technology Development Program	1	0.033
Jpl Nasa Ocean Surface Topography Mission	1	0.033
Jpl Research Technology Amp Development Program	1	0.033
Jpl Rtd Program	1	0.033
Jpl Supercomputing And Visualization Facility Svf	1	0.033
Juan De La Cierva Postdoctoral Research Fellowship From The Spanish Ministerio De Ciencia E Innovacion	1	0.033
Kansas State University	1	0.033
Kansas State University Open Access Publishing Fund	1	0.033
Keck Institute For Space Studies W M Keck Foundation Through The Project Science Driven Autonomous And Heterogeneous Robotic Networks A Vision For Future Ocean Observations	1	0.033
Key Deployment Project Of Cas Centre For Ocean Mega Science	1	0.033
Key Laboratory Of Geospace Environment And Geodesy Ministry Of Education Wuhan University	1	0.033
Key Laboratory Of Spatial Data Mining Information Sharing Of Ministry Of Education Fuzhou University	1	0.033
Key Laboratory Of Tibetan Environmental Changes And Land Surface Processes In Chinese Academy Of Sciences	1	0.033
Key Project Of Natural Science Research Of The Anhui Education Department	1	0.033
Key R D Program Of Shandong	1	0.033
Key R D Program Of The Ministry Of Science And Technology China	1	0.033
Key Research Program Of Frontier Sciences Chinese Academy Of Sciences	1	0.033
Khaled Bin Sultan Living Oceans Foundation	1	0.033
Kiost	1	0.033
Knowledge Innovation Foundation Program For Outstanding Young Scholar Of Cas	1	0.033
Knowledge Innovation Foundation Program For Outstanding Young Scholar Of Chinese Academy Of Sciences Cas	1	0.033
Knowledge Innovation Program Of The Chinese Academy Of Sciences	1	0.033
Kordi	1	0.033
Korea Arctic Ocean Observing System K Aoos Kopri Ministry Of Oceans And Fisheries Korea	1	0.033
Korea Government Through Mest	1	0.033
Korea Hydrographic And Oceanographic Administration	1	0.033
Korea Institute Of Marine Science And Technology Promotion Kimst Research Grant	1	0.033
Korea Institute Of Ocean Science And Technology	1	0.033
Korea Meteorological Administration	1	0.033
Korea Meteorological Administration Research And Development Program	1	0.033
Korea Ministry Of Environment	1	0.033
Korea National Research Foundation Nrf Ministry Of Science Ict Future Planning	1	0.033
Korea Polar Research Institute South Korea	1	0.033
Korean Ministry Of Science Ict And Future Planning Msip	1	0.033
Kulturisk	1	0.033
Kvug	1	0.033
Laboratoire D Etudes En Geophysique Et Oceanographie Spatiale	1	0.033
Laboratoire D Etudes En Geophysique Et Oceanographie Spatiales Legos	1	0.033
Laboratoire D Excellence Labexmer	1	0.033
Laboratorio De Ecologia De Cetaceos Y Quelonios At Centro Interdisciplinario De Ciencias Marinas Instituto Politecnico Nacional	1	0.033
Laboratory For Regional Oceanography And Numerical Modeling Pilot National Laboratory For Marine Science And Technology Qingdao	1	0.033
Lamont Doherty Earth Observatory	1	0.033
Lamsam Thailand Sustain Development	1	0.033
Land Ecological System Carbon Monitoring Satellite Ground Comprehensive Experiment	1	0.033
Lanl S Center For Space And Earth Science	1	0.033
Lauritz Meltzer University Foundation	1	0.033
Lc3m A Leverhulme Trust Research Centre Award	1	0.033
Leading Graduate Course For Frontiers Of Mathematical Sciences And Physics At The University Of Tokyo	1	0.033
Leading Talents Of Guangdong Province Program	1	0.033
Lefe Cyber Programme Cnrs Insu	1	0.033
Lefe Ec2co Program	1	0.033
Legos Grant	1	0.033
Leidos Inc	1	0.033
Leverhulme Trust Early Career Fellowship Scheme	1	0.033
Ley Orgonica De Ciencia Tecnologia E Innovacion Locti Venezuela	1	0.033
Lilly Endowment Incorporated	1	0.033
Linden Trust For Conservation	1	0.033
Lloyd S Register Trust Fund	1	0.033
London Natural Environmental Research Council	1	0.033
Long Term Change Of Structure And Function In Marine Ecosystems Of Korea Ministry Of Oceans And Fisheries Korea	1	0.033
Louis Gentil Jacques Bourcart Fellowship	1	0.033
Magellium	1	0.033
Makerere University Department Of Geography Geo Informatics And Climatic Sciences	1	0.033
Making Earth System Data Records For Use In Research Environments Measures Program	1	0.033
Manitoba Hydro	1	0.033
Margaret Sokol Faculty Award	1	0.033
Marine Environmental Observation Prediction And Response Network Meopar	1	0.033
Marine Environmental Research	1	0.033
Marine Geology And Geophysics Program	1	0.033
Mars Data Analysis Program	1	0.033
Mars Global Survey	1	0.033
Marsden Fund Nz	1	0.033
Massachusetts Institute Of Technology Mit	1	0.033
Matsumae International Foundation	1	0.033
Maui High Performance Computing Center Mhpcc	1	0.033
Mecesup	1	0.033
Mercator Ocean	1	0.033
Messenger Project	1	0.033
Met Office Hadley Centre Climate Programme Beis	1	0.033
Mext Through The Integrated Research Program For Advancing Climate Models	1	0.033
Mi Loco Gordon And Betty Moore Foundation	1	0.033
Miccin	1	0.033
Micin	1	0.033
Microsoft Azure Research Award	1	0.033
Mid Continent Intensive Mci	1	0.033
Millennium Scientific Initiative	1	0.033
Mincyt Ecos Sud	1	0.033
Minerals Management Service	1	0.033
Minerals Management Service Lsu Coastal Marine Institute Cooperative Agreement	1	0.033
Ministerio Da Ciencia E Tecnologia Mct	1	0.033
Ministry Of Earth Sciences New Delhi India	1	0.033
Ministry Of Economic Affairs Netherlands	1	0.033
Ministry Of Education Key Laboratory For Earth System Modeling Center For Earth System Science Tsinghua University Beijing China	1	0.033
Ministry Of Education Singapore	1	0.033
Ministry Of Education Taiwan	1	0.033
Ministry Of Education Universities And Research Miur	1	0.033
Ministry Of Environment And Energy Maldives	1	0.033
Ministry Of Environment South Korea Under The Demand Responsive Water Supply Service Program	1	0.033
Ministry Of Ocean And Fisheries	1	0.033
Ministry Of Oceans And Fisheries	1	0.033
Ministry Of Oceans And Fisheries Korea	1	0.033
Ministry Of Oceans And Fisheries Mof	1	0.033
Ministry Of Research And Technology Of The Republic Of Indonesia Ristek	1	0.033
Ministry Of Science And Higher Education Of The Russian Federation	1	0.033
Ministry Of Science And Higher Education Poland	1	0.033
Ministry Of Science And Technology Dragon 4 Cooperation Programme	1	0.033
Ministry Of Science And Technology Of Taiwan Republic Of China	1	0.033
Ministry Of Science And Technology Roc Taiwan	1	0.033
Ministry Of Science Technology Innovation And Communications Mctic	1	0.033
Ministry Of The Interior	1	0.033
Ministry Of Trade Industry And Energy Motie Korea	1	0.033
Ministry Science And Technology Development Of China Data Sharing Infrastructure Of Earth System Science	1	0.033
Mit	1	0.033
Mms	1	0.033
Modeling And Simulation Coordination Office	1	0.033
Moes	1	0.033
Moes India Under The Ocean Mixing And Monsoon Omm Project	1	0.033
Mof	1	0.033
Mohesr	1	0.033
Morfintra Mineco Feder	1	0.033
Multidisciplinary Environmental Research Award	1	0.033
Muscular Dystrophy Association	1	0.033
Myocean 2 Eu	1	0.033
Myocean Follow On Project	1	0.033
Nanjing University	1	0.033
Nasa Advanced Supercomputing Division	1	0.033
Nasa Advanced Supercomputing Nas Division	1	0.033
Nasa Airborne Sciences Team	1	0.033
Nasa Applied Sciences Grant In Water Resources	1	0.033
Nasa Applied Sciences Grant Under The Water Resources Program	1	0.033
Nasa As Part Of The Ocean Surface Topography	1	0.033
Nasa At Jpl	1	0.033
Nasa Award	1	0.033
Nasa Caltech Jet Propulsion Laboratory	1	0.033
Nasa Center	1	0.033
Nasa Cryosphere Award	1	0.033
Nasa Cryosphere Awards	1	0.033
Nasa Cryosphere Program Grants	1	0.033
Nasa Cryosphere Program Through The Icesat 2 Project Office	1	0.033
Nasa Cryosphere Sciences Program Csp	1	0.033
Nasa Cryospheric Program Funds	1	0.033
Nasa Cryospheric Science Program	1	0.033
Nasa Cryospheric Sciences Grant	1	0.033
Nasa Csp	1	0.033
Nasa Desdyni Lidar Project	1	0.033
Nasa Earth And Space Sciences Fellowship	1	0.033
Nasa Earth And Space Sciences Fellowship Program Grant	1	0.033
Nasa Earth Science	1	0.033
Nasa Earth Science Information Partnerships Program	1	0.033
Nasa Earth Science Measures Discover Project	1	0.033
Nasa Earth Sciences Division	1	0.033
Nasa Earth Sun System Division	1	0.033
Nasa Ecosystems And Carbon Cycle	1	0.033
Nasa Epscor Program At The University Of Delaware	1	0.033
Nasa Esa Dlr S Afrisar Campaign	1	0.033
Nasa Esa Snow On Sea Ice Nesosi Project	1	0.033
Nasa Europa Mission Project	1	0.033
Nasa Funded Jason Science Investigation	1	0.033
Nasa Geodetic Image Program	1	0.033
Nasa Grace Funding	1	0.033
Nasa Grace Grant	1	0.033
Nasa Grace Grant At Aer	1	0.033
Nasa Grace Investigation	1	0.033
Nasa Grace Program	1	0.033
Nasa Grace Science Team Program	1	0.033
Nasa Graduate Student Research Program Grant	1	0.033
Nasa Headquarters Through The Icesat 2 Project Office At The Goddard Space Flight Center	1	0.033
Nasa Headquarters Under The Nasa Earth And Space Science	1	0.033
Nasa Headquarters Under The Nasa Postdoctoral Program At Nasa Marshall Space Flight Center	1	0.033
Nasa High Mountain Asia Program	1	0.033
Nasa Hq	1	0.033
Nasa Hydrology Program	1	0.033
Nasa Icesat 2 Project Office	1	0.033
Nasa Icesat 2 Project Science Office And Science Team	1	0.033
Nasa Icesat 2 Science Definition Program	1	0.033
Nasa Icesat Project Science Office	1	0.033
Nasa Ids Sea Level Investigation	1	0.033
Nasa Ids Sea Level Program	1	0.033
Nasa Ihy	1	0.033
Nasa Interdisciplinary Research In Earth Science Sea Level Change	1	0.033
Nasa Interdisciplinary Science Grant	1	0.033
Nasa Jpl Contract	1	0.033
Nasa Jpl Ocean Vector Winds Science Team Grant	1	0.033
Nasa Land Cover Land Use Change Lcluc Award Global Scale Assessment Of Threatened River Delta Systems	1	0.033
Nasa Making Earth System Data Records For Use In Research Environments Measures	1	0.033
Nasa Making Earth System Data Records For Use In Research Environments Measures Program	1	0.033
Nasa Mapp Program	1	0.033
Nasa Nasa S Ocean Surface Topography Mission	1	0.033
Nasa Nessf Fellowship Award	1	0.033
Nasa New Investigator Grant	1	0.033
Nasa News	1	0.033
Nasa Npp Postdoc Fellowship	1	0.033
Nasa Ocean Surface Topography Mission Science Team Grant Nasa United States	1	0.033
Nasa Ocean Surface Topography Science Team Grant	1	0.033
