Editors	Record Count	% of 8,505
Fu B	1	0.012
Futterer DK	1	0.012
Gabor MJ	1	0.012
Gahegan MN	1	0.012
Galloway DL	1	0.012
Gangopadhyay M	1	0.012
Ganju A	1	0.012
Gao W	1	0.012
Garau C	1	0.012
Gartner G	1	0.012
Garvin JB	1	0.012
Gebizlioglu OS	1	0.012
Gebremichael M	1	0.012
Gelman L	1	0.012
Gibson BC	1	0.012
Gibson RN	1	0.012
Gill B	1	0.012
Ginanjar I	1	0.012
Glebov AL	1	0.012
Goldys EM	1	0.012
Gong JY	1	0.012
Goni GJ	1	0.012
Goswami BN	1	0.012
Greenwell RA	1	0.012
Gruber TH	1	0.012
Grussenmeyer P	1	0.012
Guan ZH	1	0.012
Guangjun Z	1	0.012
Guenther AH	1	0.012
Guo S	1	0.012
Guo Y	1	0.012
Guofan J	1	0.012
Gupta SP	1	0.012
Guymer TH	1	0.012
Habib AF	1	0.012
Hadiyanto	1	0.012
Hadjimitsis DG	1	0.012
Hall J	1	0.012
Haro A	1	0.012
Harris RA	1	0.012
Hartke JP	1	0.012
Hatheway AE	1	0.012
Heliere A	1	0.012
Hendow ST	1	0.012
Hodgson N	1	0.012
Holland D	1	0.012
Holota P	1	0.012
Honda Y	1	0.012
Honea EC	1	0.012
Hood RR	1	0.012
Horwitz DN	1	0.012
Hossain F	1	0.012
Hou WW	1	0.012
Hu J	1	0.012
Huang B	1	0.012
Huang KL	1	0.012
Huang Q	1	0.012
Huboyo H	1	0.012
Huffman G	1	0.012
Hughes GB	1	0.012
Hukins DWL	1	0.012
Hunter A	1	0.012
Hutter K	1	0.012
Ibrahim H	1	0.012
Igarashi T	1	0.012
Ikeda M	1	0.012
Ilarslan M	1	0.012
Im E	1	0.012
Indarto	1	0.012
Indratno SW	1	0.012
Iranpour R	1	0.012
Ishihara K	1	0.012
Ismail M	1	0.012
Ismail MH	1	0.012
Itabe T	1	0.012
Ito T	1	0.012
Itzler MA	1	0.012
Jacka TH	1	0.012
Jamieson GS	1	0.012
Jamieson SSR	1	0.012
Jia L	1	0.012
Jiang B	1	0.012
Jiang H	1	0.012
Jiang S	1	0.012
Jizhang G	1	0.012
Jones BA	1	0.012
Jones C	1	0.012
Jurdy DM	1	0.012
Kaasalainen S	1	0.012
Kajiwara K	1	0.012
Kamal S	1	0.012
Karimipour F	1	0.012
Karvazy K	1	0.012
Kaynak O	1	0.012
Kersting K	1	0.012
Khanbilvardi R	1	0.012
Kim C	1	0.012
Kim KW	1	0.012
Kinsner W	1	0.012
Klauda RJ	1	0.012
Kleinschmidt G	1	0.012
Kolev PN	1	0.012
Kooy M	1	0.012
Kopec J	1	0.012
Korsunsky AM	1	0.012
Kozlowski MR	1	0.012
Krastel S	1	0.012
Krishnamurti TN	1	0.012
Kruse GH	1	0.012
Kumagai M	1	0.012
Kumar AS	1	0.012
Kursa M	1	0.012
Kustas W	1	0.012
Kwiatkowski K	1	0.012
Lagana A	1	0.012
Lammerzahl C	1	0.012
Langhorne P	1	0.012
Lassig J	1	0.012
Latombe JC	1	0.012
Laurini R	1	0.012
Lazzaro D	1	0.012
Ledimet FX	1	0.012
Lee G	1	0.012
Lei JS	1	0.012
Leisher PO	1	0.012
Lemarshall JF	1	0.012
Leoncini X	1	0.012
Leonetti M	1	0.012
Leuven RSE	1	0.012
Levan PD	1	0.012
Leve FA	1	0.012
Li M	1	0.012
Liang J	1	0.012
Lichti DD	1	0.012
Linkov I	1	0.012
Lionello P	1	0.012
Lisowski RJ	1	0.012
Long JA	1	0.012
Longshore RE	1	0.012
Lopez RA	1	0.012
Lu X	1	0.012
Lu Z	1	0.012
Lu ZY	1	0.012
Lucey PG	1	0.012
Luo Q	1	0.012
Luzum B	1	0.012
Ma X	1	0.012
Maanan M	1	0.012
Madden M	1	0.012
Madry S	1	0.012
Mahajan KK	1	0.012
Malanotterizzoli P	1	0.012
Mallet C	1	0.012
Mandea M	1	0.012
Mango SA	1	0.012
Manik HM	1	0.012
Marchand BG	1	0.012
Marchese M	1	0.012
Marinova D	1	0.012
Martimort P	1	0.012
Marzano FS	1	0.012
Maslov VA	1	0.012
Mastorakis N	1	0.012
Mat RC	1	0.012
Mccarthy D	1	0.012
Mcintosh KA	1	0.012
Mclellan B	1	0.012
Mcmahon JW	1	0.012
Mcphee MJ	1	0.012
Meen TH	1	0.012
Meilano I	1	0.012
Menard Y	1	0.012
Menzel WP	1	0.012
Miao DQ	1	0.012
Micallef A	1	0.012
Michaelides S	1	0.012
Michel U	1	0.012
Midgley PM	1	0.012
Miller H	1	0.012
Misra AK	1	0.012
Misra T	1	0.012
Mitra AP	1	0.012
Mizutani K	1	0.012
Mladenov V	1	0.012
Moffitt CM	1	0.012
Molenaar M	1	0.012
Montenbruck O	1	0.012
Morik K	1	0.012
Morita R	1	0.012
Morner NA	1	0.012
Mortari D	1	0.012
Mu L	1	0.012
Mukhaiyar U	1	0.012
Muller JP	1	0.012
Mun Y	1	0.012
Murakami H	1	0.012
Murali K	1	0.012
Muramatsu K	1	0.012
Murayama Y	1	0.012
Murtugudde R	1	0.012
Musiake K	1	0.012
Naeije MC	1	0.012
Nakajima T	1	0.012
Nakamura K	1	0.012
Naqvi SWA	1	0.012
Nardell CA	1	0.012
Narock T	1	0.012
Nauels A	1	0.012
Navalgund RR	1	0.012
Navarro PG	1	0.012
Nawawi MKM	1	0.012
Neal CR	1	0.012
Neale C	1	0.012
Neta B	1	0.012
Nicolae DN	1	0.012
Nikolakopoulos KG	1	0.012
Nurudin M	1	0.012
Nuthong C	1	0.012
Oberst J	1	0.012
Ogawa T	1	0.012
Ohgaki H	1	0.012
Oki T	1	0.012
Olesovska H	1	0.012
Omar H	1	0.012
Omatsu T	1	0.012
Onbasioglu S	1	0.012
Ono A	1	0.012
Osmanoglu B	1	0.012
Otto RS	1	0.012
Ouwehand L	1	0.012
Ozhan E	1	0.012
Padalia H	1	0.012
Painter T	1	0.012
Palaniappan K	1	0.012
Papadavid G	1	0.012
Paparoditis N	1	0.012
Parajka J	1	0.012
Patane G	1	0.012
Patkova L	1	0.012
Paul AJ	1	0.012
Paul AK	1	0.012
Paul DK	1	0.012
Paul R	1	0.012
Pavletic D	1	0.012
Paxton LJ	1	0.012
Pelletier FJ	1	0.012
Pelton JN	1	0.012
Percivall G	1	0.012
Perez GJ	1	0.012
Pham TD	1	0.012
Piantadosi J	1	0.012
Piggott WR	1	0.012
Pittelkau ME	1	0.012
Plattner GK	1	0.012
Playan E	1	0.012
Plaza AJ	1	0.012
Poddar S	1	0.012
Podziemski P	1	0.012
Portaluri A	1	0.012
Post SG	1	0.012
Potuckova M	1	0.012
Poudevigne I	1	0.012
Pranoto I	1	0.012
Prasetyo LB	1	0.012
Prialnik D	1	0.012
Prihatmaji Y	1	0.012
Prilandita N	1	0.012
Proulx RJ	1	0.012
Psihoyios G	1	0.012
Qi J	1	0.012
Qin D	1	0.012
Qiu J	1	0.012
Qu X	1	0.012
Rabatel G	1	0.012
Raczkowski W	1	0.012
Raimond AM	1	0.012
Rajawat AS	1	0.012
Rao DN	1	0.012
Rao EPR	1	0.012
Rasul NMA	1	0.012
Raymond CF	1	0.012
Reinisch B	1	0.012
Reksowardojo I	1	0.012
Remondino F	1	0.012
Robin M	1	0.012
Roca R	1	0.012
Rodell M	1	0.012
Rodgers CD	1	0.012
Rodriguez AB	1	0.012
Roggemann MC	1	0.012
Rogger M	1	0.012
Rohni AM	1	0.012
Rothacher M	1	0.012
Rudiger C	1	0.012
Ruggieri M	1	0.012
Rulifson RA	1	0.012
Rumor M	1	0.012
Russell JE	1	0.012
Ruzicka J	1	0.012
Ruzickova K	1	0.012
Saeki H	1	0.012
Sager WW	1	0.012
Saintemarie B	1	0.012
Samadzadegan F	1	0.012
Sannasiraj SA	1	0.012
Sano T	1	0.012
Santos TA	1	0.012
Saptoadi H	1	0.012
Saran S	1	0.012
Sathyamoorthy D	1	0.012
Savini A	1	0.012
Sawada H	1	0.012
Sayed M	1	0.012
Schafer K	1	0.012
Scheeres DJ	1	0.012
Schone T	1	0.012
Schulz K	1	0.012
Schulz R	1	0.012
Schumann A	1	0.012
Scozzari A	1	0.012
Seago JH	1	0.012
Sentanuhady J	1	0.012
Seredovich VA	1	0.012
Serpico SB	1	0.012
Setiawan Y	1	0.012
Setoguchi T	1	0.012
Seybold DB	1	0.012
Shaposhnikov S	1	0.012
Shariff ARM	1	0.012
Shen J	1	0.012
Shen Q	1	0.012
Sheppard C	1	0.012
Shi CA	1	0.012
Shi J	1	0.012
Shi P	1	0.012
Shirley TC	1	0.012
Shulika OV	1	0.012
Shuyou C	1	0.012
Sigmon B	1	0.012
Silvacorona JJ	1	0.012
Simos TE	1	0.012
Sims JA	1	0.012
Simurda D	1	0.012
Singer W	1	0.012
Singh VP	1	0.012
Singla P	1	0.012
Sithamparanathan K	1	0.012
Sithole G	1	0.012
Skrovseth PE	1	0.012
Slaboch V	1	0.012
Slusser JR	1	0.012
Smit J	1	0.012
Smith JM	1	0.012
Smith KL	1	0.012
Smith SL	1	0.012
Smith WL	1	0.012
Soergel U	1	0.012
Soileau MJ	1	0.012
Son YB	1	0.012
Sood AK	1	0.012
Sorgel U	1	0.012
Soskind Y	1	0.012
Soyama N	1	0.012
Squire V	1	0.012
Sriram V	1	0.012
Stankova E	1	0.012
Staudenrausch H	1	0.012
Steffen K	1	0.012
Steinvall O	1	0.012
Stewart ICF	1	0.012
Stocker TF	1	0.012
Straka SA	1	0.012
Streilein A	1	0.012
Su DL	1	0.012
Su J	1	0.012
Su Z	1	0.012
Sudharasanan R	1	0.012
Sudharsanam R	1	0.012
Sui G	1	0.012
Sukhatme J	1	0.012
Sundar V	1	0.012
Suparta W	1	0.012
Susan N	1	0.012
Syartinilia	1	0.012
Takata Y	1	0.012
Talagrand O	1	0.012
Tan CJK	1	0.012
Tanaka T	1	0.012
Tang C	1	0.012
Tang D	1	0.012
Tanimoto J	1	0.012
Tanzi T	1	0.012
Tarantino E	1	0.012
Tarmidi Z	1	0.012
Taylor EW	1	0.012
Tedesco M	1	0.012
Tessensohn F	1	0.012
Thaung KS	1	0.012
Themistocleous K	1	0.012
Thomason CG	1	0.012
Tignor MMB	1	0.012
Timofeyev YM	1	0.012
Toth E	1	0.012
Totolo O	1	0.012
Tsai SB	1	0.012
Tsitouras C	1	0.012
Turyshev SG	1	0.012
Uratsuka S	1	0.012
Uy OM	1	0.012
Vadali SR	1	0.012
Valinia A	1	0.012
Vallado DA	1	0.012
Vanoevelen P	1	0.012
Vantika S	1	0.012
Veenendaal B	1	0.012
Venugopal V	1	0.012
Visconti G	1	0.012
Vogtmann H	1	0.012
Vondrakova A	1	0.012
Vozenlek V	1	0.012
Wang F	1	0.012
Wang FL	1	0.012
Wang G	1	0.012
Wang L	1	0.012
Wang P	1	0.012
Wang Z	1	0.012
Warmbein B	1	0.012
Weber K	1	0.012
Weber T	1	0.012
Webster VL	1	0.012
Weimer DJ	1	0.012
Weisman RM	1	0.012
Wellner JS	1	0.012
Wells DS	1	0.012
Wen TD	1	0.012
Werner C	1	0.012
White DA	1	0.012
Widyaparaga A	1	0.012
Wiggert JD	1	0.012
Wijaya ME	1	0.012
Wilderer P	1	0.012
Williams BG	1	0.012
Woodby D	1	0.012
Wu B	1	0.012
Wu N	1	0.012
Wu X	1	0.012
Xia Y	1	0.012
Xian G	1	0.012
Xiong N	1	0.012
Xu BY	1	0.012
Xu L	1	0.012
Xu P	1	0.012
Xu Z	1	0.012
Yadav S	1	0.012
Yadava RN	1	0.012
Yager PL	1	0.012
Yang B	1	0.012
Yang CP	1	0.012
Yang D	1	0.012
Yang FL	1	0.012
Yang K	1	0.012
Yang S	1	0.012
Yang W	1	0.012
Yao W	1	0.012
Yasuoka Y	1	0.012
Yee JH	1	0.012
Yeh J	1	0.012
Yoshimura M	1	0.012
Young I	1	0.012
Yu Q	1	0.012
Yuen L	1	0.012
Zagajewski B	1	0.012
Zeng Y	1	0.012
Zhang C	1	0.012
Zhang D	1	0.012
Zhang G	1	0.012
Zhang JX	1	0.012
Zhang P	1	0.012
Zhang X	1	0.012
Zhang Y	1	0.012
Zhang Z	1	0.012
Zhao J	1	0.012
Zhaoyin W	1	0.012
Zhong M	1	0.012
Zhou J	1	0.012
Zhou L	1	0.012
Zhou ZH	1	0.012
Zhu J	1	0.012
Zhu M	1	0.012
Zilioli E	1	0.012
Zou X	1	0.012
Zulfakriza	1	0.012
Zulkepli J	1	0.012
7,782 record(s) (91.499%) do not contain data in the field being analyzed
