Publication Titles	Record Count	% of 3,643
EUROPEAN JOURNAL OF REMOTE SENSING	4	0.110
HYDROLOGICAL SCIENCES JOURNAL JOURNAL DES SCIENCES HYDROLOGIQUES	4	0.110
ISPRS INTERNATIONAL JOURNAL OF GEO INFORMATION	4	0.110
JOURNAL OF APPLIED REMOTE SENSING	4	0.110
JOURNAL OF HYDROMETEOROLOGY	4	0.110
MARINE GEOPHYSICAL RESEARCH	4	0.110
NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH	4	0.110
PLANETARY AND SPACE SCIENCE	4	0.110
35TH INTERNATIONAL SYMPOSIUM ON REMOTE SENSING OF ENVIRONMENT ISRSE35	3	0.082
6TH DIGITAL EARTH SUMMIT	3	0.082
ATMOSPHERIC CHEMISTRY AND PHYSICS	3	0.082
ATMOSPHERIC MEASUREMENT TECHNIQUES	3	0.082
CLIMATE OF THE PAST	3	0.082
COMPTES RENDUS GEOSCIENCE	3	0.082
CURRENT CLIMATE CHANGE REPORTS	3	0.082
ESTONIAN JOURNAL OF EARTH SCIENCES	3	0.082
ESTUARINE COASTAL AND SHELF SCIENCE	3	0.082
GEODETSKI VESTNIK	3	0.082
GEOPHYSICAL JOURNAL OF THE ROYAL ASTRONOMICAL SOCIETY	3	0.082
IGARSS 2018 2018 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	3	0.082
INTERNATIONAL CONFERENCE ON GEOMATIC AND GEOSPATIAL TECHNOLOGY GGT 2016	3	0.082
INTERNATIONAL CONFERENCE ON SENSORS MODELS IN REMOTE SENSING PHOTOGRAMMETRY	3	0.082
ISPRS HANNOVER WORKSHOP HRIGI 17 CMRT 17 ISA 17 EUROCOW 17	3	0.082
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING	3	0.082
JOURNAL OF COASTAL RESEARCH	3	0.082
JOURNAL OF GEOPHYSICAL RESEARCH BIOGEOSCIENCES	3	0.082
JOURNAL OF MARINE RESEARCH	3	0.082
JOURNAL OF OCEANOGRAPHY	3	0.082
JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN	3	0.082
LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH	3	0.082
LIMNOLOGY AND OCEANOGRAPHY	3	0.082
NATURE	3	0.082
NATURE CLIMATE CHANGE	3	0.082
PHYSICS OF FLUIDS	3	0.082
POLAR SCIENCE	3	0.082
PROCEDIA ENVIRONMENTAL SCIENCES	3	0.082
PROCEEDINGS OF THE ROYAL SOCIETY A MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	3	0.082
PROCEEDINGS OF THE SOCIETY OF PHOTO OPTICAL INSTRUMENTATION ENGINEERS SPIE	3	0.082
RBRH REVISTA BRASILEIRA DE RECURSOS HIDRICOS	3	0.082
REMOTE SENSING OF THE OCEAN AND SEA ICE 2003	3	0.082
REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA	3	0.082
SCIENCE ADVANCES	3	0.082
SOLID EARTH	3	0.082
SPACE SCIENCE REVIEWS	3	0.082
SPACE WEATHER THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS	3	0.082
2016 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	2	0.055
3RD INTERNATIONAL CONFERENCE ON SUSTAINABLE FUTURE FOR HUMAN SECURITY SUSTAIN 2012	2	0.055
8TH IGRSM INTERNATIONAL CONFERENCE AND EXHIBITION ON GEOSPATIAL REMOTE SENSING IGRSM 2016	2	0.055
ACTA ASTRONAUTICA	2	0.055
ACTA GEODAETICA ET GEOPHYSICA	2	0.055
ACTA GEODYNAMICA ET GEOMATERIALIA	2	0.055
ACTA GEOPHYSICA	2	0.055
ACTA PHYSICA SINICA	2	0.055
ANNALS OF GLACIOLOGY VOL 37	2	0.055
ANNALS OF GLACIOLOGY VOL 42 2005	2	0.055
ANTARCTIC SCIENCE	2	0.055
ASTRONOMY ASTROPHYSICS	2	0.055
ATMOSPHERE OCEAN	2	0.055
ATMOSPHERIC AND OCEANIC SCIENCE LETTERS	2	0.055
CANADIAN JOURNAL OF REMOTE SENSING	2	0.055
CHAOS	2	0.055
COMPUTERS GEOSCIENCES	2	0.055
EARTH SCIENCE REVIEWS	2	0.055
EARTH SYSTEM DYNAMICS	2	0.055
EARTHS FUTURE	2	0.055
ECOLOGICAL INDICATORS	2	0.055
ELEMENTA SCIENCE OF THE ANTHROPOCENE	2	0.055
ENVIRONMETRICS	2	0.055
FLUIDS	2	0.055
GEOPHYSICAL JOURNAL OXFORD	2	0.055
GEOSCIENCE DATA JOURNAL	2	0.055
GLOBAL BIOGEOCHEMICAL CYCLES	2	0.055
GLOBAL CHANGE BIOLOGY	2	0.055
HYDROLOGICAL PROCESSES	2	0.055
HYDROLOGY RESEARCH	2	0.055
ICES JOURNAL OF MARINE SCIENCE	2	0.055
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY	2	0.055
IET IMAGE PROCESSING	2	0.055
IGARSS 2020 2020 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	2	0.055
INTERNATIONAL ASSOCIATION OF GEODESY SYMPOSIA	2	0.055
INTERNATIONAL CONFERENCE ON ACOUSTICS SPEECH AND SIGNAL PROCESSING ICASSP	2	0.055
ISPRS WG IV 1 INTERNATIONAL CONFERENCE ON GEOMATIC AND GEOSPATIAL TECHNOLOGY 2017 GEOSPATIAL AND DISASTER MANAGEMENT	2	0.055
JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY	2	0.055
JOURNAL OF GEOPHYSICAL RESEARCH	2	0.055
JOURNAL OF HYDROLOGY REGIONAL STUDIES	2	0.055
JOURNAL OF MAPS	2	0.055
JOURNAL OF THE ATMOSPHERIC SCIENCES	2	0.055
LED I SNEG ICE AND SNOW	2	0.055
MARINE GEOLOGY	2	0.055
MATHEMATICS	2	0.055
MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY	2	0.055
NASE MORE	2	0.055
NATURAL HAZARDS	2	0.055
NETHERLANDS JOURNAL OF GEOSCIENCES GEOLOGIE EN MIJNBOUW	2	0.055
OCEAN ENGINEERING	2	0.055
PHOTOGRAMMETRIC RECORD	2	0.055
POLAR RESEARCH	2	0.055
PROGRESS IN NATURAL SCIENCE MATERIALS INTERNATIONAL	2	0.055
PROGRESS IN PHYSICAL GEOGRAPHY EARTH AND ENVIRONMENT	2	0.055
REGIONAL STUDIES IN MARINE SCIENCE	2	0.055
REMOTE SENSING AND WATER RESOURCES	2	0.055
REVISTA BRASILEIRA DE GEOMORFOLOGIA	2	0.055
REVISTA DE TELEDETECCION	2	0.055
SPACE SCIENCE SERIES OF ISSI	2	0.055
STUDIA GEOPHYSICA ET GEODAETICA	2	0.055
TECTONOPHYSICS	2	0.055
TEKNIK DERGI	2	0.055
WEATHER CLIMATE AND SOCIETY	2	0.055
XXIII ISPRS CONGRESS COMMISSION I	2	0.055
10TH IGRSM INTERNATIONAL CONFERENCE AND EXHIBITION ON GEOSPATIAL REMOTE SENSING	1	0.027
13TH EUROPEAN TURBULENCE CONFERENCE ETC13 CONVECTION ROTATION STRATIFICATION AND BUOYANCY EFFECTS	1	0.027
2010 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	1	0.027
2012 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	1	0.027
2012 INTERNATIONAL CONFERENCE ON MEDICAL PHYSICS AND BIOMEDICAL ENGINEERING ICMPBE2012	1	0.027
2014 22ND MEDITERRANEAN CONFERENCE ON CONTROL AND AUTOMATION MED	1	0.027
2014 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION CEC	1	0.027
2015 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS SPEECH AND SIGNAL PROCESSING ICASSP	1	0.027
2015 INTERNATIONAL CONFERENCE ON UNMANNED AIRCRAFT SYSTEMS ICUAS 15	1	0.027
2016 24TH EUROPEAN SIGNAL PROCESSING CONFERENCE EUSIPCO	1	0.027
2017 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	1	0.027
2017 INTERNATIONAL CONFERENCE ON SPACE SCIENCE AND COMMUNICATION	1	0.027
2019 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS 2019	1	0.027
2020 IEEE 7TH INTERNATIONAL WORKSHOP ON METROLOGY FOR AEROSPACE METROAEROSPACE	1	0.027
2020 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS SPEECH AND SIGNAL PROCESSING	1	0.027
22ND INTERNATIONAL CONFERENCE ON CIRCUITS SYSTEMS COMMUNICATIONS AND COMPUTERS CSCC 2018	1	0.027
2ND INTERNATIONAL CONFERENCE ON TROPICAL AND COASTAL REGION ECO DEVELOPMENT 2016	1	0.027
36TH INTERNATIONAL SYMPOSIUM ON REMOTE SENSING OF ENVIRONMENT	1	0.027
3RD INTERNATIONAL CONFERENCE OF INDONESIA SOCIETY FOR REMOTE SENSING ICOIRS 2017	1	0.027
3RD INTERNATIONAL CONFERENCE ON MARINE SCIENCE ICMS 2019 TOWARDS SUSTAINABLE MARINE RESOURCES AND ENVIRONMENT	1	0.027
3RD INTERNATIONAL SYMPOSIUM ON EARTH OBSERVATION FOR ARID AND SEMI ARID ENVIRONMENTS ISEO2016	1	0.027
4TH INTERNATIONAL CONFERENCE ON ADVANCES IN ENERGY RESOURCES AND ENVIRONMENT ENGINEERING	1	0.027
4TH INTERNATIONAL CONFERENCE ON SUSTAINABLE FUTURE FOR HUMAN SECURITY SUSTAIN 2013	1	0.027
4TH INTERNATIONAL SYMPOSIUM ON LAPAN IPB SATELLITE FOR FOOD SECURITY AND ENVIRONMENTAL MONITORING	1	0.027
6TH ASIAN PHYSICS SYMPOSIUM	1	0.027
8TH INTERNATIONAL CONFERENCE ON ASIAN AND PACIFIC COASTS APAC 2015	1	0.027
9TH INTERNATIONAL CONFERENCE ON PHYSICS AND ITS APPLICATIONS ICOPIA	1	0.027
ADVANCED PHOTON COUNTING TECHNIQUES XIII	1	0.027
ADVANCED TECHNOLOGIES IN EARTH SCIENCES	1	0.027
ADVANCES IN ATMOSPHERIC SCIENCES	1	0.027
ADVANCES IN CLIMATE CHANGE RESEARCH	1	0.027
ADVANCES IN METEOROLOGY	1	0.027
ADVANCES IN SPACE RESEARCH SERIES	1	0.027
AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY	1	0.027
ANALES DE GEOGRAFIA DE LA UNIVERSIDAD COMPLUTENSE	1	0.027
ANNALS OF GLACIOLOGY VOL 30 2000	1	0.027
ANNALS OF GLACIOLOGY VOL 31 2000	1	0.027
ANNALS OF GLACIOLOGY VOL 36	1	0.027
ANNALS OF GLACIOLOGY VOL 44 2006	1	0.027
ANNALS OF GLACIOLOGY VOL 48	1	0.027
ANNUAL REVIEW OF MARINE SCIENCE	1	0.027
ANNUAL REVIEW OF MARINE SCIENCE VOL 8	1	0.027
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH	1	0.027
APPLIED MATHEMATICAL MODELLING	1	0.027
APPLIED OCEAN RESEARCH	1	0.027
ASTROPHYSICAL JOURNAL	1	0.027
ATMOSFERA	1	0.027
ATMOSPHERIC SCIENCE LETTERS	1	0.027
AUSTRALIAN GEOGRAPHER	1	0.027
AUSTRALIAN JOURNAL OF EARTH SCIENCES	1	0.027
BIG EARTH DATA	1	0.027
BRAZILIAN JOURNAL OF OCEANOGRAPHY	1	0.027
BRODOGRADNJA	1	0.027
BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA	1	0.027
CALIBRATION CHARACTERIZATION OF SATELLITE SENSORS PHYSICAL PARAMETERS DERIVED FROM SATELLITE DATA	1	0.027
CARBON MANAGEMENT	1	0.027
CEAS SPACE JOURNAL	1	0.027
CHANGES IN FLOOD RISK AND PERCEPTION IN CATCHMENTS AND CITIES	1	0.027
CHINESE JOURNAL OF AERONAUTICS	1	0.027
CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY	1	0.027
CHINESE SCIENCE BULLETIN CHINESE	1	0.027
CIENCIAS MARINAS	1	0.027
CLIMATE CHANGE CAUSES RISKS CONSEQUENCES PROBLEMS OF ADAPTATION AND MANAGEMENT	1	0.027
CLIMATIC CHANGE	1	0.027
COASTAL ALTIMETRY	1	0.027
COASTAL ENGINEERING	1	0.027
COGENT ENGINEERING	1	0.027
COMMUNICATIONS EARTH ENVIRONMENT	1	0.027
COMPONENTS AND PACKAGING FOR LASER SYSTEMS	1	0.027
COMPUTERS FLUIDS	1	0.027
CONTRIBUTIONS TO GEOPHYSICS AND GEODESY	1	0.027
CORAL REEFS	1	0.027
CURRENT SCIENCE	1	0.027
DEEP SEA RESEARCH PART A OCEANOGRAPHIC RESEARCH PAPERS	1	0.027
EARTH INTERACTIONS	1	0.027
EARTH ON THE EDGE SCIENCE FOR A SUSTAINABLE PLANET	1	0.027
EARTH SCIENCE INFORMATICS	1	0.027
EARTH SCIENCES RESEARCH JOURNAL	1	0.027
EARTH SURFACE DYNAMICS	1	0.027
ECOLOGICAL MODELLING	1	0.027
EGYPTIAN JOURNAL OF REMOTE SENSING AND SPACE SCIENCES	1	0.027
ELSEVIER OCEANOGRAPHY SERIES	1	0.027
ENERGIES	1	0.027
ENGENHARIA AGRICOLA	1	0.027
ENGINEERING	1	0.027
ENVIRONMENT INTERNATIONAL	1	0.027
ENVIRONMENTAL AND ECOLOGICAL STATISTICS	1	0.027
ENVIRONMENTAL DEVELOPMENT	1	0.027
ENVIRONMENTAL MANAGEMENT	1	0.027
ENVIRONMENTAL MODELLING SOFTWARE	1	0.027
ENVIRONMENTAL PROBLEMS IN COASTAL REGIONS VI INCLUDING OIL SPILL STUDIES	1	0.027
ENVIRONMENTAL RESEARCH	1	0.027
ERCA 9 FROM THE GLOBAL MERCURY CYCLE TO THE DISCOVERIES OF KUIPER BELT OBJECTS	1	0.027
ERCA FROM THE HUMAN DIMENSIONS OF GLOBAL ENVIRONMENTAL CHANGE TO THE OBSERVATION OF THE EARTH FROM SPACE VOL 8	1	0.027
ESAIM MATHEMATICAL MODELLING AND NUMERICAL ANALYSIS MODELISATION MATHEMATIQUE ET ANALYSE NUMERIQUE	1	0.027
EUROPEAN SIGNAL PROCESSING CONFERENCE	1	0.027
EXPLORATION OF SUBSURFACE ANTARCTICA UNCOVERING PAST CHANGES AND MODERN PROCESSES	1	0.027
FIBER LASERS IX TECHNOLOGY SYSTEMS AND APPLICATIONS	1	0.027
FISHERIES OCEANOGRAPHY	1	0.027
FORESTS	1	0.027
FRONTIERS IN ENVIRONMENTAL SCIENCE	1	0.027
FRONTIERS IN WATER	1	0.027
GEM INTERNATIONAL JOURNAL ON GEOMATHEMATICS	1	0.027
GENERAL RELATIVITY AND GRAVITATION	1	0.027
GEOCARTO INTERNATIONAL	1	0.027
GEODESY AND CARTOGRAPHY	1	0.027
GEOLOGICAL SOCIETY SPECIAL PUBLICATION	1	0.027
GEOLOGY	1	0.027
GEOMORPHOLOGY	1	0.027
GEOPHYSICAL PROSPECTING	1	0.027
GEOSCIENCE LETTERS	1	0.027
GEUS BULLETIN	1	0.027
GISCIENCE REMOTE SENSING	1	0.027
GROUNDWATER	1	0.027
HYDROGEOLOGY JOURNAL	1	0.027
HYDROLOGY	1	0.027
IAHS PUBLICATION	1	0.027
IAU SYMPOSIUM PROCEEDINGS SERIES	1	0.027
ICY BODIES OF THE SOLAR SYSTEM	1	0.027
IEEE GEOSCIENCE AND REMOTE SENSING MAGAZINE	1	0.027
IEEE JOURNAL OF OCEANIC ENGINEERING	1	0.027
IEEE METROLOGY FOR AEROSPACE	1	0.027
IEEE SIGNAL PROCESSING LETTERS	1	0.027
IEEE TRANSACTIONS ON IMAGE PROCESSING	1	0.027
IGARSS 2000 IEEE 2000 INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM VOL I VI PROCEEDINGS	1	0.027
IGARSS 2002 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM AND 24TH CANADIAN SYMPOSIUM ON REMOTE SENSING VOLS I VI PROCEEDINGS	1	0.027
INTERNATIONAL CONFERENCE ON CLIMATE CHANGE ICCC 2018	1	0.027
INTERNATIONAL CONFERENCE ON GEOMATIC GEOSPATIAL TECHNOLOGY GGT 2018 GEOSPATIAL AND DISASTER RISK MANAGEMENT	1	0.027
INTERNATIONAL CONFERENCE ON UNMANNED AIRCRAFT SYSTEMS	1	0.027
INTERNATIONAL CONFERENCE RESEARCH COLLABORATION OF ENVIRONMENTAL SCIENCE	1	0.027
INTERNATIONAL GEOLOGY REVIEW	1	0.027
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS	1	0.027
INTERNATIONAL JOURNAL OF AEROSPACE ENGINEERING	1	0.027
INTERNATIONAL JOURNAL OF AGRICULTURAL AND BIOLOGICAL ENGINEERING	1	0.027
INTERNATIONAL JOURNAL OF CLIMATOLOGY	1	0.027
INTERNATIONAL JOURNAL OF DIGITAL EARTH	1	0.027
INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS	1	0.027
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	1	0.027
INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY	1	0.027
INTERNATIONAL JOURNAL OF MODERN PHYSICS D	1	0.027
INTERNATIONAL JOURNAL OF RIVER BASIN MANAGEMENT	1	0.027
INTERNATIONAL SYMPOSIUM ON EARTH OBSERVATION FOR ONE BELT AND ONE ROAD EOBAR	1	0.027
IRANIAN JOURNAL OF SCIENCE AND TECHNOLOGY TRANSACTION A SCIENCE	1	0.027
IRI 1997 SYMPOSIUM NEW DEVELOPMENTS IN IONOSPHERIC MODELLING AN D PREDICTION	1	0.027
ISME JOURNAL	1	0.027
ISPRS ANNALS OF THE PHOTOGRAMMETRY REMOTE SENSING AND SPATIAL INFORMATION SCIENCES	1	0.027
ISPRS GEOSPATIAL WEEK 2015	1	0.027
ISPRS ICWG III IVA GI4DM 2019 GEOINFORMATION FOR DISASTER MANAGEMENT	1	0.027
ISPRS INTERNATIONAL JOINT CONFERENCES OF THE 2ND GEOSPATIAL INFORMATION RESEARCH GI RESEARCH 2017 THE 4TH SENSORS AND MODELS IN PHOTOGRAMMETRY AND REMOTE SENSING SMPR 2017 THE 6TH EARTH OBSERVATION OF ENVIRONMENTAL CHANGES EOEC 2017	1	0.027
ISPRS TC V MID TERM SYMPOSIUM GEOSPATIAL TECHNOLOGY PIXEL TO PEOPLE	1	0.027
IV INTERNATIONAL SCIENTIFIC AND TECHNICAL CONFERENCE MECHANICAL SCIENCE AND TECHNOLOGY UPDATE MSTU 2020	1	0.027
JCPSP JOURNAL OF THE COLLEGE OF PHYSICIANS AND SURGEONS PAKISTAN	1	0.027
JOURNAL OF AFRICAN EARTH SCIENCES	1	0.027
JOURNAL OF APPLIED GEODESY	1	0.027
JOURNAL OF APPLIED GEOPHYSICS	1	0.027
JOURNAL OF ENGINEERING JOE	1	0.027
JOURNAL OF ENVIRONMENTAL INFORMATICS	1	0.027
JOURNAL OF EXPERIMENTAL BOTANY	1	0.027
JOURNAL OF GEOGRAPHY CHIGAKU ZASSHI	1	0.027
JOURNAL OF GEOPHYSICAL RESEARCH SOLID EARTH AND PLANETS	1	0.027
JOURNAL OF GREAT LAKES RESEARCH	1	0.027
JOURNAL OF HYDROINFORMATICS	1	0.027
JOURNAL OF NAVIGATION	1	0.027
JOURNAL OF QUANTITATIVE SPECTROSCOPY RADIATIVE TRANSFER	1	0.027
JOURNAL OF SENSORS	1	0.027
JOURNAL OF SOUTH AMERICAN EARTH SCIENCES	1	0.027
JOURNAL OF SOUTHERN HEMISPHERE EARTH SYSTEMS SCIENCE	1	0.027
JOURNAL OF SPATIAL SCIENCE	1	0.027
JOURNAL OF SURVEYING ENGINEERING	1	0.027
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA	1	0.027
JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM	1	0.027
JOURNAL OF TROPICAL METEOROLOGY	1	0.027
JURNAL ILMU DAN TEKNOLOGI KELAUTAN TROPIS	1	0.027
JURNAL TEKNOLOGI SCIENCES ENGINEERING	1	0.027
MADERA Y BOSQUES	1	0.027
MARINE POLLUTION BULLETIN	1	0.027
MATEC WEB OF CONFERENCES	1	0.027
MATHEMATICAL GEOSCIENCES	1	0.027
MATHEMATICAL PROBLEMS IN ENGINEERING	1	0.027
MEDICAL BIOLOGICAL ENGINEERING COMPUTING	1	0.027
MEDITERRANEAN CONFERENCE ON CONTROL AND AUTOMATION	1	0.027
MEDITERRANEAN MARINE SCIENCE	1	0.027
METEOROLOGICAL APPLICATIONS	1	0.027
METEOROLOGISCHE ZEITSCHRIFT	1	0.027
METROLOGIA	1	0.027
NPJ CLIMATE AND ATMOSPHERIC SCIENCE	1	0.027
OCEAN WEATHER FORECASTING AN INTEGRATED VIEW OF OCEANOGRAPHY	1	0.027
OCEANOLOGICA ACTA	1	0.027
OPEN GEOSCIENCES	1	0.027
OPERATIONAL OCEANOGRAPHY	1	0.027
OPERATIONAL OCEANOGRAPHY IN THE 21ST CENTURY	1	0.027
