Publication Years	Record Count	% of 525
2016	60	11.429
2014	52	9.905
2019	40	7.619
2020	39	7.429
2021	39	7.429
2018	34	6.476
2015	32	6.095
2013	27	5.143
2009	23	4.381
2011	22	4.190
2012	22	4.190
2017	21	4.000
2000	20	3.810
2010	13	2.476
2008	10	1.905
1995	9	1.714
2002	8	1.524
2006	6	1.143
1993	5	0.952
1998	5	0.952
1999	5	0.952
2001	5	0.952
2003	5	0.952
2004	5	0.952
1989	3	0.571
1997	3	0.571
2005	3	0.571
2007	3	0.571
1987	1	0.190
1990	1	0.190
1991	1	0.190
1992	1	0.190
1994	1	0.190
1996	1	0.190
