Publication Titles	Record Count	% of 94,965
CURRENT SCIENCE	154	0.162
EARTH SURFACE PROCESSES AND LANDFORMS	154	0.162
COMPUTERS GEOSCIENCES	153	0.161
JOURNAL OF THE ATMOSPHERIC SCIENCES	153	0.161
ICES JOURNAL OF MARINE SCIENCE	152	0.160
IEEE ACCESS	152	0.160
SCIENCE CHINA EARTH SCIENCES	152	0.160
GEOSCIENCES	151	0.159
JOURNAL OF APPLIED REMOTE SENSING	149	0.157
ENVIRONMENTAL EARTH SCIENCES	148	0.156
ADVANCES IN ATMOSPHERIC SCIENCES	147	0.155
IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS	147	0.155
JOURNAL OF OPERATIONAL OCEANOGRAPHY	147	0.155
JOURNAL OF ATMOSPHERIC AND SOLAR TERRESTRIAL PHYSICS	145	0.153
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	145	0.153
MARINE BIOLOGY	144	0.152
GLOBAL CHANGE BIOLOGY	143	0.151
INTERNATIONAL ARCHIVES OF THE PHOTOGRAMMETRY REMOTE SENSING AND SPATIAL INFORMATION SCIENCES	142	0.150
JOURNAL OF HYDROMETEOROLOGY	138	0.145
JOURNAL OF SOUTH AMERICAN EARTH SCIENCES	138	0.145
TELLUS SERIES A DYNAMIC METEOROLOGY AND OCEANOGRAPHY	138	0.145
WEATHER AND FORECASTING	138	0.145
IGARSS 2018 2018 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	137	0.144
ANTARCTIC SCIENCE	136	0.143
OPTICS EXPRESS	136	0.143
SUSTAINABILITY	136	0.143
JOURNAL OF GEOPHYSICAL RESEARCH BIOGEOSCIENCES	134	0.141
ANNALS OF GLACIOLOGY SERIES	133	0.140
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA	132	0.139
MARINE GEOPHYSICAL RESEARCH	132	0.139
SCIENCE ADVANCES	129	0.136
CLIMATE OF THE PAST	128	0.135
EARTH AND SPACE SCIENCE	125	0.132
ANNALES GEOPHYSICAE	122	0.128
REGIONAL STUDIES IN MARINE SCIENCE	122	0.128
JOURNAL OF EARTH SYSTEM SCIENCE	121	0.127
JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH	120	0.126
PHYSICS OF THE EARTH AND PLANETARY INTERIORS	120	0.126
CANADIAN JOURNAL OF REMOTE SENSING	119	0.125
THEORETICAL AND APPLIED CLIMATOLOGY	118	0.124
GONDWANA RESEARCH	116	0.122
NONLINEAR PROCESSES IN GEOPHYSICS	116	0.122
SPACE SCIENCE REVIEWS	116	0.122
CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY	115	0.121
HYDROLOGICAL SCIENCES JOURNAL JOURNAL DES SCIENCES HYDROLOGIQUES	115	0.121
ENVIRONMENTAL MONITORING AND ASSESSMENT	114	0.120
ECOLOGICAL INDICATORS	113	0.119
ATMOSPHERIC MEASUREMENT TECHNIQUES	111	0.117
GEOCHIMICA ET COSMOCHIMICA ACTA	111	0.117
TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES	111	0.117
BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA	110	0.116
IOP CONFERENCE SERIES EARTH AND ENVIRONMENTAL SCIENCE	108	0.114
PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING	108	0.114
2019 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS 2019	107	0.113
ADVANCES IN THE ASTRONAUTICAL SCIENCES	106	0.112
GEOLOGICAL SOCIETY OF AMERICA SPECIAL PAPERS	106	0.112
GEOCARTO INTERNATIONAL	105	0.111
POLAR BIOLOGY	104	0.110
ENVIRONMENTAL MODELLING SOFTWARE	103	0.108
DOKLADY EARTH SCIENCES	102	0.107
JOURNAL OF BIOGEOGRAPHY	102	0.107
STUDIA GEOPHYSICA ET GEODAETICA	102	0.107
JOURNAL OF OCEANOLOGY AND LIMNOLOGY	101	0.106
FOREST ECOLOGY AND MANAGEMENT	100	0.105
GEOLOGICAL SOCIETY OF AMERICA BULLETIN	100	0.105
EARTHS FUTURE	98	0.103
MARINE AND FRESHWATER RESEARCH	98	0.103
ATMOSPHERE OCEAN	97	0.102
ISPRS INTERNATIONAL JOURNAL OF GEO INFORMATION	97	0.102
CHINESE SCIENCE BULLETIN	96	0.101
PHYSICS OF FLUIDS	96	0.101
JOURNAL OF OCEAN UNIVERSITY OF CHINA	95	0.100
ADVANCES IN WATER RESOURCES	94	0.099
APPLIED SCIENCES BASEL	94	0.099
ATMOSPHERIC RESEARCH	94	0.099
MARINE CHEMISTRY	93	0.098
IGARSS 2020 2020 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	92	0.097
PALEOCEANOGRAPHY AND PALEOCLIMATOLOGY	92	0.097
REMOTE SENSING LETTERS	92	0.097
2017 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	91	0.096
FORESTS	90	0.095
GEOSPHERE	90	0.095
2016 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	89	0.094
MARINE MICROPALEONTOLOGY	89	0.094
FISHERIES RESEARCH	88	0.093
LITHOS	87	0.092
HOLOCENE	86	0.091
CHEMICAL GEOLOGY	84	0.088
PROGRESS IN PHYSICAL GEOGRAPHY EARTH AND ENVIRONMENT	84	0.088
ECOLOGY AND EVOLUTION	83	0.087
POLAR SCIENCE	82	0.086
APPLIED OPTICS	81	0.085
INSTITUTE OF NAVIGATION SATELLITE DIVISION PROCEEDINGS OF THE INTERNATIONAL TECHNICAL MEETING	81	0.085
JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY	81	0.085
GEO MARINE LETTERS	80	0.084
BASIN RESEARCH	79	0.083
ECOLOGICAL MODELLING	79	0.083
ENERGIES	78	0.082
ANNALS OF GEOPHYSICS	77	0.081
ESTUARIES AND COASTS	77	0.081
JOURNAL OF PLANKTON RESEARCH	76	0.080
ACTA ASTRONAUTICA	75	0.079
HYDROBIOLOGIA	74	0.078
