Authors	Record Count	% of 94,965
Komjathy A	56	0.059
Leben RR	56	0.059
Liu WT	56	0.059
Maes C	56	0.059
Penven P	56	0.059
Pickart RS	56	0.059
Sallee JB	56	0.059
Steffen K	56	0.059
Uenzelmann-neben G	56	0.059
Van De Berg WJ	56	0.059
Yang YJ	56	0.059
Yu Y	56	0.059
Barth A	55	0.058
Bhaskaran PK	55	0.058
Brankart JM	55	0.058
Chu PC	55	0.058
Exertier P	55	0.058
Galindo-zaldivar J	55	0.058
Gerland S	55	0.058
Goni G	55	0.058
Gruber N	55	0.058
Hernandez-molina FJ	55	0.058
Kim D	55	0.058
Li JL	55	0.058
Lin MS	55	0.058
Marshall DP	55	0.058
Qi YQ	55	0.058
Rodriguez E	55	0.058
Sato T	55	0.058
Smith WHF	55	0.058
Staneva J	55	0.058
Treguier AM	55	0.058
Xie HJ	55	0.058
Xie Q	55	0.058
Zhang K	55	0.058
Zhang S	55	0.058
Zhang YZ	55	0.058
Zhou W	55	0.058
Becker M	54	0.057
Blanke B	54	0.057
Chang P	54	0.057
Chen SM	54	0.057
Dobslaw H	54	0.057
Garcon V	54	0.057
Hayes AG	54	0.057
Helm V	54	0.057
Lee SH	54	0.057
Liu CY	54	0.057
Liu YL	54	0.057
Liu YX	54	0.057
Ruiz S	54	0.057
Santoleri R	54	0.057
Simard M	54	0.057
Stanev EV	54	0.057
Trull TW	54	0.057
Wang D	54	0.057
Wu Y	54	0.057
Yamagata T	54	0.057
Young IR	54	0.057
Bonnefond P	53	0.056
De Ruijter WPM	53	0.056
Ghil M	53	0.056
Griffa A	53	0.056
Hamlington BD	53	0.056
Hanna E	53	0.056
Holland DM	53	0.056
Hu DX	53	0.056
Jayne SR	53	0.056
Knudsen P	53	0.056
Kumar P	53	0.056
Li HL	53	0.056
Li HY	53	0.056
Luckman A	53	0.056
Mitchell NC	53	0.056
Provost C	53	0.056
Roemmich D	53	0.056
Van Den Broeke M	53	0.056
Wang R	53	0.056
Wanninkhof R	53	0.056
Weller RA	53	0.056
Xie H	53	0.056
Yamazaki D	53	0.056
Zhang GQ	53	0.056
Zhang JC	53	0.056
Zhang ZY	53	0.056
Boning CW	52	0.055
Collard F	52	0.055
Cronin MF	52	0.055
Ding XL	52	0.055
Flechtner F	52	0.055
Hirt C	52	0.055
Hossain F	52	0.055
Hu CM	52	0.055
Klees R	52	0.055
Lin II	52	0.055
Mouche A	52	0.055
Oschlies A	52	0.055
Paul F	52	0.055
Piecuch CG	52	0.055
Vignudelli S	52	0.055
Wang JD	52	0.055
Wang Z	52	0.055
Weimerskirch H	52	0.055
Xue Y	52	0.055
Zhang G	52	0.055
Zhang JL	52	0.055
Zhou X	52	0.055
Bell RE	51	0.054
Biancale R	51	0.054
Bracco A	51	0.054
Copland L	51	0.054
Eden C	51	0.054
Farrar JT	51	0.054
Ho CR	51	0.054
Jaggi A	51	0.054
Le Sommer J	51	0.054
Masumoto Y	51	0.054
Paden J	51	0.054
Penduff T	51	0.054
Srokosz MA	51	0.054
Turiel A	51	0.054
Wang JH	51	0.054
Wang ZY	51	0.054
Yang W	51	0.054
Zhao ZX	51	0.054
Caniaux G	50	0.053
Fablet R	50	0.053
Fer I	50	0.053
Fernandez M	50	0.053
Ferraccioli F	50	0.053
Guntner A	50	0.053
He RY	50	0.053
Hernandez F	50	0.053
Josey SA	50	0.053
Landerer FW	50	0.053
Li WQ	50	0.053
Mann P	50	0.053
Matsumoto K	50	0.053
Muller J	50	0.053
Pelegri JL	50	0.053
Reason CJC	50	0.053
Reul N	50	0.053
Somot S	50	0.053
Sutherland R	50	0.053
Tong XH	50	0.053
Tsimplis MN	50	0.053
Wang S	50	0.053
Willis JK	50	0.053
Zhou XH	50	0.053
Dettmering D	49	0.052
Eagles G	49	0.052
Garcia M	49	0.052
Gourmelen N	49	0.052
Ivins ER	49	0.052
Jevrejeva S	49	0.052
Kubryakov AA	49	0.052
Larour E	49	0.052
Li ZS	49	0.052
Liu JY	49	0.052
Lognonne P	49	0.052
Markus T	49	0.052
Okal EA	49	0.052
Oke PR	49	0.052
Pavelsky TM	49	0.052
Renault L	49	0.052
Rivera A	49	0.052
Scheinert M	49	0.052
Shankar D	49	0.052
Stokes CR	49	0.052
Sun WK	49	0.052
Breivik O	48	0.051
Chen DK	48	0.051
Chen GX	48	0.051
Chen YN	48	0.051
Cravatte S	48	0.051
Durand M	48	0.051
Golledge NR	48	0.051
Horwath M	48	0.051
Kim Y	48	0.051
Lee JH	48	0.051
Li D	48	0.051
Ma J	48	0.051
Mcclean JL	48	0.051
Mccreary JP	48	0.051
Melet A	48	0.051
Miyazawa Y	48	0.051
Moore P	48	0.051
Mourre B	48	0.051
Reager JT	48	0.051
Richman JG	48	0.051
Scambos T	48	0.051
Send U	48	0.051
Smith AM	48	0.051
Wan WX	48	0.051
Wang YT	48	0.051
Watts DR	48	0.051
Wei ZX	48	0.051
Wu CR	48	0.051
Wu XR	48	0.051
Yu LS	48	0.051
Zhang XB	48	0.051
Zhou C	48	0.051
Aslanian D	47	0.049
Awaji T	47	0.049
Babanin AV	47	0.049
Bindoff NL	47	0.049
Chen ZH	47	0.049
Cheng LJ	47	0.049
Church MJ	47	0.049
Corr HFJ	47	0.049
D'ovidio F	47	0.049
Egbert GD	47	0.049
Glasser NF	47	0.049
Gomis D	47	0.049
Goni GJ	47	0.049
Guo J	47	0.049
Hauff F	47	0.049
Jan S	47	0.049
Jezek KC	47	0.049
Jiang WP	47	0.049
Kim SW	47	0.049
Lu YY	47	0.049
Mazarico E	47	0.049
Nash JD	47	0.049
Pierdicca N	47	0.049
Rio MH	47	0.049
Sun XL	47	0.049
Tournadre J	47	0.049
Trenberth KE	47	0.049
Wang YG	47	0.049
Wood EF	47	0.049
Zheng QA	47	0.049
Ansorge IJ	46	0.048
Beckers JM	46	0.048
De Viron O	46	0.048
Gnanaseelan C	46	0.048
Gurnis M	46	0.048
Hasumi H	46	0.048
Holbrook NJ	46	0.048
Huang J	46	0.048
Huang L	46	0.048
Ishikawa Y	46	0.048
Johannessen JA	46	0.048
Jorda G	46	0.048
Knaff JA	46	0.048
Lettenmaier DP	46	0.048
Li YH	46	0.048
Li ZY	46	0.048
Liu G	46	0.048
Long DG	46	0.048
Matsuoka K	46	0.048
Munneke PK	46	0.048
Onrubia R	46	0.048
Park YH	46	0.048
Rainville L	46	0.048
Sato K	46	0.048
Schneider N	46	0.048
Sheinbaum J	46	0.048
Soomere T	46	0.048
Tulaczyk S	46	0.048
Usui N	46	0.048
Van Hoolst T	46	0.048
Vilibic I	46	0.048
Walker JP	46	0.048
Watanabe S	46	0.048
Worcester PF	46	0.048
Xi XH	46	0.048
Xu J	46	0.048
Zhang LL	46	0.048
Zhang XL	46	0.048
Zhou Y	46	0.048
Almar R	45	0.047
Bai Y	45	0.047
Baringer MO	45	0.047
Beal LM	45	0.047
Bidlot JR	45	0.047
Bouin MN	45	0.047
Busalacchi AJ	45	0.047
Carton JA	45	0.047
Dutrieux P	45	0.047
Feely RA	45	0.047
Gnanadesikan A	45	0.047
Guinet C	45	0.047
Hibiya T	45	0.047
Holliday NP	45	0.047
Immerzeel WW	45	0.047
Jacobs GA	45	0.047
Kumar VS	45	0.047
Lacasce JH	45	0.047
Li JY	45	0.047
Li XJ	45	0.047
Li XM	45	0.047
Li XX	45	0.047
Ligtenberg SRM	45	0.047
Lin H	45	0.047
Luo ZC	45	0.047
Marsh R	45	0.047
Nonaka M	45	0.047
Palmer MD	45	0.047
Prants SV	45	0.047
Reijmer CH	45	0.047
Rhein M	45	0.047
Sathyendranath S	45	0.047
Siegel DA	45	0.047
Sloyan BM	45	0.047
Stevens DP	45	0.047
Stoffelen A	45	0.047
Vinayachandran PN	45	0.047
Wagner W	45	0.047
Wang HS	45	0.047
Wang P	45	0.047
Wang QY	45	0.047
Wang XC	45	0.047
White NJ	45	0.047
Zhang CY	45	0.047
Zhang XY	45	0.047
Ablain M	44	0.046
Balmaseda MA	44	0.046
Bentamy A	44	0.046
Bonnet MP	44	0.046
Bosch W	44	0.046
Braitenberg C	44	0.046
Carter L	44	0.046
Chen M	44	0.046
Colas F	44	0.046
D'ortenzio F	44	0.046
Dong SF	44	0.046
Forget G	44	0.046
Frajka-williams E	44	0.046
Gangopadhyay A	44	0.046
Giordani H	44	0.046
Haines BJ	44	0.046
Howat IM	44	0.046
Kim H	44	0.046
Marchesiello P	44	0.046
Mayer C	44	0.046
Menendez M	44	0.046
Mitchum GT	44	0.046
Murray T	44	0.046
Passaro M	44	0.046
Rack W	44	0.046
Ribo S	44	0.046
Rossi V	44	0.046
Schutz BE	44	0.046
Seyler F	44	0.046
Siegfried MR	44	0.046
Testut L	44	0.046
Toyoda T	44	0.046
Wingham DJ	44	0.046
Wu H	44	0.046
Zhang RH	44	0.046
Ali MM	43	0.045
Andrefouet S	43	0.045
Baghdadi N	43	0.045
Barber DG	43	0.045
Barton ED	43	0.045
Beron-vera FJ	43	0.045
Birol F	43	0.045
Braun A	43	0.045
Challenor PG	43	0.045
Chen Z	43	0.045
Cheng B	43	0.045
Dangendorf S	43	0.045
Demets C	43	0.045
Dibarboure G	43	0.045
Edwards CA	43	0.045
Fabra F	43	0.045
Fausto RS	43	0.045
Gaina C	43	0.045
Huang C	43	0.045
Kim HC	43	0.045
Klokocnik J	43	0.045
Lamont T	43	0.045
Le Henaff M	43	0.045
Leung LR	43	0.045
Levermann A	43	0.045
Lin PF	43	0.045
Liu JG	43	0.045
Marotzke J	43	0.045
Menkes C	43	0.045
Milne GA	43	0.045
Moore JC	43	0.045
Orfila A	43	0.045
Rodriguez-alvarez N	43	0.045
Rowlands DD	43	0.045
Sheng JY	43	0.045
Smeed DA	43	0.045
Sun GQ	43	0.045
Testor P	43	0.045
Tseng YH	43	0.045
Vincent C	43	0.045
Wang WQ	43	0.045
Wiens DA	43	0.045
Xiu P	43	0.045
Zhang DH	43	0.045
Zhang ZH	43	0.045
Aires F	42	0.044
Aoki S	42	0.044
Asner GP	42	0.044
Aumont O	42	0.044
Barriot JP	42	0.044
Bertin X	42	0.044
Capet X	42	0.044
Chaigneau A	42	0.044
Echevin V	42	0.044
Eymard L	42	0.044
Font J	42	0.044
Foreman MGG	42	0.044
Gong P	42	0.044
Hirose N	42	0.044
Hock R	42	0.044
Huang RX	42	0.044
Humbert A	42	0.044
Hyyppa J	42	0.044
Kelly KA	42	0.044
Kumar V	42	0.044
Lherminier P	42	0.044
Liu YH	42	0.044
Losch M	42	0.044
Martin MJ	42	0.044
Mata MM	42	0.044
Medina R	42	0.044
Nakamura T	42	0.044
Noel B	42	0.044
Perez FF	42	0.044
Rosati A	42	0.044
Ruf CS	42	0.044
Saenko OA	42	0.044
Shao WZ	42	0.044
Sharp M	42	0.044
Shi C	42	0.044
Sidorenko D	42	0.044
Tang H	42	0.044
Tziavos IN	42	0.044
Uleysky MY	42	0.044
Van Leeuwen PJ	42	0.044
Wada Y	42	0.044
Wu YH	42	0.044
Yang S	42	0.044
Zhou J	42	0.044
Zuffada C	42	0.044
Born GH	41	0.043
Cheng XH	41	0.043
Cofaigh CO	41	0.043
Diament M	41	0.043
Dyment J	41	0.043
Fasullo JT	41	0.043
Ferreira VG	41	0.043
Hu YX	41	0.043
Ke LH	41	0.043
Kim YH	41	0.043
Klingelhoefer F	41	0.043
Kuenzer C	41	0.043
Kwon YO	41	0.043
Li G	41	0.043
Lipscomb WH	41	0.043
Liston GE	41	0.043
Liu HX	41	0.043
Liu JP	41	0.043
Mitsudera H	41	0.043
Muller-karger FE	41	0.043
Oberst J	41	0.043
Rabinovich AB	41	0.043
Ren L	41	0.043
Ricker R	41	0.043
Riva REM	41	0.043
Sannino G	41	0.043
Saraceno M	41	0.043
Shah R	41	0.043
Shenoi SSC	41	0.043
Shu YQ	41	0.043
Spreen G	41	0.043
Sun L	41	0.043
Tamisiea ME	41	0.043
Thompson KR	41	0.043
Wahl T	41	0.043
Wang NB	41	0.043
Wang XW	41	0.043
Wang YC	41	0.043
Wu J	41	0.043
Xu C	41	0.043
Yuan DL	41	0.043
Zhang XD	41	0.043
Zhang XF	41	0.043
Zhao B	41	0.043
Zhou M	41	0.043
Aristegui J	40	0.042
Bauer-gottwein P	40	0.042
Bingham RG	40	0.042
Bohoyo F	40	0.042
Boyer T	40	0.042
Brassington GB	40	0.042
Budyansky MV	40	0.042
Chauhan P	40	0.042
Chiswell SM	40	0.042
Cunningham SA	40	0.042
Delcroix T	40	0.042
Eisen O	40	0.042
Faleide JI	40	0.042
Fang GH	40	0.042
Fenoglio-marc L	40	0.042
Fujita K	40	0.042
Gomez-enri J	40	0.042
Goosse H	40	0.042
Hauser D	40	0.042
Hemer MA	40	0.042
Kim JW	40	0.042
Lemoine JM	40	0.042
Li P	40	0.042
Liu JL	40	0.042
Long D	40	0.042
Lunine JI	40	0.042
Mackinnon JA	40	0.042
Marzeion B	40	0.042
Nakano H	40	0.042
Ohshima KI	40	0.042
Rossby T	40	0.042
Sasai Y	40	0.042
Schmidt S	40	0.042
Shay LK	40	0.042
Shen WB	40	0.042
Sideris MG	40	0.042
Song YT	40	0.042
Tang DL	40	0.042
Tregoning P	40	0.042
Valencia E	40	0.042
Vethamony P	40	0.042
Visser PNAM	40	0.042
Wang HJ	40	0.042
Wang SH	40	0.042
Wang XD	40	0.042
Wang YL	40	0.042
Yashayaev I	40	0.042
Yu L	40	0.042
Zeng LL	40	0.042
Zhao F	40	0.042
Zhong M	40	0.042
Zhu JH	40	0.042
Awange JL	39	0.041
Bacon S	39	0.041
Benn DI	39	0.041
Bosch-lluis X	39	0.041
Brewin RJW	39	0.041
Bryan FO	39	0.041
Canals M	39	0.041
Chakraborty A	39	0.041
Deleersnijder E	39	0.041
Domingues CM	39	0.041
Dunne JP	39	0.041
Fichefet T	39	0.041
Fischer J	39	0.041
Flores JA	39	0.041
Gerdes R	39	0.041
Gommenginger C	39	0.041
Gourdeau L	39	0.041
Huang WM	39	0.041
Hugentobler U	39	0.041
Kumar N	39	0.041
Kurtz NT	39	0.041
Lermusiaux PFJ	39	0.041
Li GY	39	0.041
Li JB	39	0.041
Liu LB	39	0.041
Llovel W	39	0.041
Lohmann G	39	0.041
Majda AJ	39	0.041
Marsaleix P	39	0.041
Morozov EG	39	0.041
Nerger L	39	0.041
Niiler PP	39	0.041
Nilsson J	39	0.041
Olascoaga MJ	39	0.041
Peliz A	39	0.041
Rott H	39	0.041
Schiller A	39	0.041
Shen H	39	0.041
Simons M	39	0.041
Sjoberg LE	39	0.041
Smedstad OM	39	0.041
Spall MA	39	0.041
Suga T	39	0.041
Thierry V	39	0.041
Truffer M	39	0.041
Wang YJ	39	0.041
Wu P	39	0.041
Yang Q	39	0.041
Zaron ED	39	0.041
Zhang SW	39	0.041
Zhang YG	39	0.041
Zhao H	39	0.041
Zhu LP	39	0.041
Altamimi Z	38	0.040
Balmaseda M	38	0.040
Berloff P	38	0.040
Bevis M	38	0.040
Biancamaria S	38	0.040
Burgmann R	38	0.040
Carreno-luengo H	38	0.040
Chen DL	38	0.040
Cheng Y	38	0.040
Christianson K	38	0.040
Colgan W	38	0.040
Dutkiewicz S	38	0.040
Eshagh M	38	0.040
Folguera A	38	0.040
Frezzotti M	38	0.040
Garric G	38	0.040
Gaspar P	38	0.040
Hall J	38	0.040
Hu Y	38	0.040
Krishna KS	38	0.040
Larnicol G	38	0.040
Leuschen C	38	0.040
Liu T	38	0.040
Liu ZQ	38	0.040
Macayeal DR	38	0.040
Mason E	38	0.040
Mcconnell JR	38	0.040
Mcmillan M	38	0.040
Ndehedehe CE	38	0.040
Pattiaratchi C	38	0.040
Peng SQ	38	0.040
Ries JC	38	0.040
Shi J	38	0.040
Spence P	38	0.040
Strutton PG	38	0.040
Sugiyama S	38	0.040
Tsurutani BT	38	0.040
Wang CY	38	0.040
Watanabe M	38	0.040
Williams SDP	38	0.040
Wu D	38	0.040
Wu L	38	0.040
Zhao Q	38	0.040
Zhao QL	38	0.040
Zheng F	38	0.040
Zhou GQ	38	0.040
Afraimovich EL	37	0.039
Bhardwaj A	37	0.039
Bopp L	37	0.039
Bouffard J	37	0.039
Candela J	37	0.039
Cavaleri L	37	0.039
Chen N	37	0.039
Cherel Y	37	0.039
Desai SD	37	0.039
Ditmar P	37	0.039
Donohue KA	37	0.039
Fernandes MJ	37	0.039
Getirana A	37	0.039
Graham AGC	37	0.039
King EC	37	0.039
Kostelecky J	37	0.039
Large WG	37	0.039
Lyman JM	37	0.039
Masuda S	37	0.039
Montenbruck O	37	0.039
Mortimer N	37	0.039
Murty VSN	37	0.039
Quincey DJ	37	0.039
Ross N	37	0.039
Stanichny SV	37	0.039
Stearns LA	37	0.039
Stroeve J	37	0.039
Strozzi T	37	0.039
Strub PT	37	0.039
Swart S	37	0.039
Tanaka Y	37	0.039
Tarakanov RY	37	0.039
Toole JM	37	0.039
Tranter M	37	0.039
Turner J	37	0.039
