Web of Science Index	Record Count	% of 8,505
Science Citation Index Expanded (SCI-EXPANDED)	7214	84.821
Conference Proceedings Citation Index – Science (CPCI-S)	1378	16.202
Emerging Sources Citation Index (ESCI)	121	1.423
Book Citation Index – Science (BKCI-S)	76	0.894
Social Sciences Citation Index (SSCI)	35	0.412
Conference Proceedings Citation Index – Social Science & Humanities (CPCI-SSH)	8	0.094
Arts & Humanities Citation Index (A&HCI)	1	0.012
Book Citation Index – Social Sciences & Humanities (BKCI-SSH)	1	0.012
